county,Hazard,fiscalYear,totalSubapplicationAmount,COUNTYNAME
02020,Unidentified disaster,2022,3179400.55,Anchorage Municipality
02020,Unidentified disaster,2023,43551781.6,Anchorage Municipality
02050,Unidentified disaster,2020,310235.0,Bethel Census Area
02050,Unidentified disaster,2021,2650014.08,Bethel Census Area
02050,Unidentified disaster,2022,785000.0,Bethel Census Area
02050,Unidentified disaster,2023,12333424.08,Bethel Census Area
02060,none,2020,0.0,Bristol Bay Borough
02060,none,2021,0.0,Bristol Bay Borough
02060,none,2022,0.0,Bristol Bay Borough
02060,none,2023,0.0,Bristol Bay Borough
02068,none,2020,0.0,Denali Borough
02068,none,2021,0.0,Denali Borough
02068,none,2022,0.0,Denali Borough
02068,none,2023,0.0,Denali Borough
02070,none,2020,0.0,Dillingham Census Area
02070,none,2021,0.0,Dillingham Census Area
02070,none,2022,0.0,Dillingham Census Area
02070,none,2023,0.0,Dillingham Census Area
02090,none,2020,0.0,Fairbanks North Star Borough
02090,Unidentified disaster,2021,11683421.0,Fairbanks North Star Borough
02090,none,2022,0.0,Fairbanks North Star Borough
02090,Unidentified disaster,2023,11009452.0,Fairbanks North Star Borough
02100,none,2020,0.0,Haines Borough
02100,none,2021,0.0,Haines Borough
02100,none,2022,0.0,Haines Borough
02100,Unidentified disaster,2023,149548.3,Haines Borough
02105,none,2020,0.0,Hoonah-Angoon Census Area
02105,none,2021,0.0,Hoonah-Angoon Census Area
02105,none,2022,0.0,Hoonah-Angoon Census Area
02105,none,2023,0.0,Hoonah-Angoon Census Area
02110,none,2020,0.0,Juneau City and Borough
02110,none,2021,0.0,Juneau City and Borough
02110,Unidentified disaster,2022,69300.0,Juneau City and Borough
02110,Unidentified disaster,2023,2405029.0,Juneau City and Borough
02122,Unidentified disaster,2020,677277.78,Kenai Peninsula Borough
02122,Unidentified disaster,2021,871561.9,Kenai Peninsula Borough
02122,Unidentified disaster,2022,945273.4,Kenai Peninsula Borough
02122,Unidentified disaster,2023,77294.0,Kenai Peninsula Borough
02130,none,2020,0.0,Ketchikan Gateway Borough
02130,none,2021,0.0,Ketchikan Gateway Borough
02130,none,2022,0.0,Ketchikan Gateway Borough
02130,Unidentified disaster,2023,215439.0,Ketchikan Gateway Borough
02150,none,2020,0.0,Kodiak Island Borough
02150,Unidentified disaster,2021,550000.0,Kodiak Island Borough
02150,Unidentified disaster,2022,29340.0,Kodiak Island Borough
02150,none,2023,0.0,Kodiak Island Borough
02158,none,2020,0.0,Kusilvak Census Area
02158,none,2021,0.0,Kusilvak Census Area
02158,none,2022,0.0,Kusilvak Census Area
02158,none,2023,0.0,Kusilvak Census Area
02164,Unidentified disaster,2020,680000.0,Lake and Peninsula Borough
02164,none,2021,0.0,Lake and Peninsula Borough
02164,none,2022,0.0,Lake and Peninsula Borough
02164,none,2023,0.0,Lake and Peninsula Borough
02170,Unidentified disaster,2020,622500.0,Matanuska-Susitna Borough
02170,none,2021,0.0,Matanuska-Susitna Borough
02170,none,2022,0.0,Matanuska-Susitna Borough
02170,Unidentified disaster,2023,2000000.0,Matanuska-Susitna Borough
02180,none,2020,0.0,Nome Census Area
02180,none,2021,0.0,Nome Census Area
02180,Unidentified disaster,2022,5997500.0,Nome Census Area
02180,none,2023,0.0,Nome Census Area
02185,none,2020,0.0,North Slope Borough
02185,Unidentified disaster,2021,652722.47,North Slope Borough
02185,none,2022,0.0,North Slope Borough
02185,Unidentified disaster,2023,29929141.0,North Slope Borough
02188,Unidentified disaster,2020,1259367.15,Northwest Arctic Borough
02188,none,2021,0.0,Northwest Arctic Borough
02188,none,2022,0.0,Northwest Arctic Borough
02188,none,2023,0.0,Northwest Arctic Borough
02195,none,2020,0.0,Petersburg Borough
02195,none,2021,0.0,Petersburg Borough
02195,none,2022,0.0,Petersburg Borough
02195,none,2023,0.0,Petersburg Borough
02198,none,2020,0.0,Prince of Wales-Hyder Census Area
02198,Unidentified disaster,2021,1948710.8,Prince of Wales-Hyder Census Area
02198,Unidentified disaster,2022,6709855.630000001,Prince of Wales-Hyder Census Area
02198,Unidentified disaster,2023,322163.0,Prince of Wales-Hyder Census Area
02220,none,2020,0.0,Sitka City and Borough
02220,none,2021,0.0,Sitka City and Borough
02220,none,2022,0.0,Sitka City and Borough
02220,none,2023,0.0,Sitka City and Borough
