county,Hazard,fiscalYear,totalSubapplicationAmount,COUNTYNAME
17201,Flooding/Tropical storm/Hurricane,2021,6630151.12,Winnebago County
17201,Flooding/Tropical storm/Hurricane,2022,3909669.75,Winnebago County
17201,Flooding/Tropical storm/Hurricane,2023,1700000.0,Winnebago County
17201,Tornado/Severe storm,2023,45500.0,Winnebago County
17203,Flooding/Tropical storm/Hurricane,2021,902959.12,Woodford County
18003,Flooding/Tropical storm/Hurricane,2020,11287422.5,Allen County
18003,Flooding/Tropical storm/Hurricane,2021,11266630.52,Allen County
18009,Flooding/Tropical storm/Hurricane,2020,85000.0,Blackford County
18013,Flooding/Tropical storm/Hurricane,2020,5500000.0,Brown County
18019,Tornado/Severe storm,2022,6751664.0,Clark County
18025,Tornado/Severe storm,2020,7858215.0,Crawford County
18025,Tornado/Severe storm,2023,368866.85,Crawford County
18041,Tornado/Severe storm,2023,45440.34,Fayette County
18097,Flooding/Tropical storm/Hurricane,2020,70077683.65,Marion County
18097,Flooding/Tropical storm/Hurricane,2021,93163998.4,Marion County
18097,Flooding/Tropical storm/Hurricane,2022,9484224.969999999,Marion County
18097,Flooding/Tropical storm/Hurricane,2023,326463.41,Marion County
18097,Infrastructure failure/Manmade disaster,2023,133860.0,Marion County
18097,Tornado/Severe storm,2021,195772.31,Marion County
18097,Tornado/Severe storm,2022,379024.24,Marion County
18097,Tornado/Severe storm,2023,1326230.47,Marion County
18097,Unidentified disaster,2020,79365.75,Marion County
18097,Unidentified disaster,2021,120940.68,Marion County
18097,Unidentified disaster,2022,1801408.64,Marion County
18097,Unidentified disaster,2023,264632.82,Marion County
18107,Earthquake/Landslide,2020,601120.0,Montgomery County
18107,Earthquake/Landslide,2021,613665.0,Montgomery County
18127,Flooding/Tropical storm/Hurricane,2023,312500.0,Porter County
18139,Flooding/Tropical storm/Hurricane,2022,1406000.0,Rush County
18151,Flooding/Tropical storm/Hurricane,2023,133753.16,Steuben County
19011,Flooding/Tropical storm/Hurricane,2021,66138.0,Benton County
19013,Flooding/Tropical storm/Hurricane,2021,272386.05,Black Hawk County
19013,Unidentified disaster,2023,32000.0,Black Hawk County
19021,Fire/Extreme temperature/Drought,2021,62952373.0,Buena Vista County
19021,Fire/Extreme temperature/Drought,2022,65551407.0,Buena Vista County
19021,Tornado/Severe storm,2020,85588.75,Buena Vista County
19031,Tornado/Severe storm,2023,49352.94,Cedar County
19035,Tornado/Severe storm,2020,2841650.0,Cherokee County
19041,Tornado/Severe storm,2020,38820.0,Clay County
19047,Tornado/Severe storm,2023,14023324.0,Crawford County
19049,Fire/Extreme temperature/Drought,2021,75000.0,Dallas County
19049,Flooding/Tropical storm/Hurricane,2022,3379637.01,Dallas County
19049,Flooding/Tropical storm/Hurricane,2023,14438131.0,Dallas County
19057,Flooding/Tropical storm/Hurricane,2023,237950.0,Des Moines County
19061,Flooding/Tropical storm/Hurricane,2020,250000.0,Dubuque County
19061,Flooding/Tropical storm/Hurricane,2021,250000.0,Dubuque County
19065,Flooding/Tropical storm/Hurricane,2021,99750.0,Fayette County
19077,Tornado/Severe storm,2023,393202.0,Guthrie County
19095,Flooding/Tropical storm/Hurricane,2020,1350654.9,Iowa County
19095,Flooding/Tropical storm/Hurricane,2023,20000.0,Iowa County
19095,Tornado/Severe storm,2020,13504.9,Iowa County
19103,Tornado/Severe storm,2022,580000.0,Johnson County
19105,Tornado/Severe storm,2020,24612.0,Jones County
19113,Flooding/Tropical storm/Hurricane,2020,3437650.0,Linn County
19113,Flooding/Tropical storm/Hurricane,2023,17776560.04,Linn County
19113,Unidentified disaster,2022,40500.0,Linn County
19115,Tornado/Severe storm,2023,35714.0,Louisa County
19141,Flooding/Tropical storm/Hurricane,2021,100000.0,O'Brien County
19147,Tornado/Severe storm,2023,41950.0,Palo Alto County
19149,Unidentified disaster,2022,137670.0,Plymouth County
19153,Flooding/Tropical storm/Hurricane,2020,50000.0,Polk County
19153,Flooding/Tropical storm/Hurricane,2022,360000.0,Polk County
19153,Flooding/Tropical storm/Hurricane,2023,1246313.6,Polk County
19153,Infrastructure failure/Manmade disaster,2023,2799999.0,Polk County
19153,Tornado/Severe storm,2022,1191780.7,Polk County
