county,Hazard,totalSubapplicationAmount,Hazard_color
21093,Flooding,100000.0,00AAFF
21097,Flooding,275000.0,00AAFF
21103,Flooding,17722427.38,00AAFF
21103,Infrastructure failure,284300.0,884DFF
21105,Flooding,136500.0,00AAFF
21111,Flooding,4019472.15,00AAFF
21111,Infrastructure failure,185766092.0,884DFF
21111,Severe storm,247830.0,FFFF00
21117,Dam/Levee break,400000.0,00AAFF
21127,Flooding,126262.0,00AAFF
21127,Infrastructure failure,12867000.0,884DFF
21135,Winter storm,117500.0,A0E6FF
21139,Flooding,1569331.6,00AAFF
21159,Infrastructure failure,12867000.0,884DFF
21161,Flooding,300000.0,00AAFF
21161,Severe storm,30000.0,FFFF00
21165,Flooding,820000.0,00AAFF
21173,Dam/Levee break,85000.0,00AAFF
21173,Flooding,711850.0,00AAFF
21181,Flooding,275000.0,00AAFF
21181,Severe storm,30000.0,FFFF00
21185,Flooding,4350308.85,00AAFF
21191,Infrastructure failure,7087437.5,884DFF
21195,Flooding,435830.0,00AAFF
21197,Flooding,420000.0,00AAFF
21199,Flooding,718042.0,00AAFF
21205,Flooding,6017000.0,00AAFF
21205,Severe storm,445000.0,FFFF00
21209,Flooding,275000.0,00AAFF
21211,Flooding,13372118.53,00AAFF
21211,Infrastructure failure,284300.0,884DFF
21239,Flooding,13372118.53,00AAFF
21239,Infrastructure failure,284300.0,884DFF
22001,Flooding,3742713.73,00AAFF
22003,Flooding,11001757.0,00AAFF
22005,Flooding,123440754.96,00AAFF
22005,Infrastructure failure,8891470.0,884DFF
22005,Tropical cyclone (Hurricane/Typhoon),79406168.72,00AAFF
22007,Flooding,7594554.0,00AAFF
22007,Tropical cyclone (Hurricane/Typhoon),77810074.48,00AAFF
22009,Landslide/Debris flow,1000000.0,644117
22015,Flooding,7384094.0,00AAFF
22017,Flooding,284094.0,00AAFF
22019,Flooding,15415922.0,00AAFF
22019,Tropical cyclone (Hurricane/Typhoon),4600526.0,00AAFF
22023,Flooding,4854439.0,00AAFF
22023,Tropical cyclone (Hurricane/Typhoon),341480.0,00AAFF
22029,Flooding,1808410.01,00AAFF
22029,Infrastructure failure,14361467.0,884DFF
22033,Flooding,507484160.34,00AAFF
22033,Severe storm,460330775.39,FFFF00
22033,Tropical cyclone (Hurricane/Typhoon),4665587.6,00AAFF
22045,Flooding,7819105.08,00AAFF
22047,Flooding,4200000.0,00AAFF
22051,Dam/Levee break,10838400.0,00AAFF
22051,Flooding,296352488.85,00AAFF
22051,Infrastructure failure,73984764.0,884DFF
22051,Severe storm,1722898.8,FFFF00
22051,Tropical cyclone (Hurricane/Typhoon),10722106.36,00AAFF
22053,Flooding,11321324.0,00AAFF
22055,Flooding,36852852.41,00AAFF
22057,Flooding,29528360.560000002,00AAFF
22057,Tropical cyclone (Hurricane/Typhoon),81510027.14,00AAFF
22063,Flooding,94219868.86999999,00AAFF
22069,Severe storm,392797.15,FFFF00
22071,Flooding,115247510.74,00AAFF
22071,Infrastructure failure,281812176.0,884DFF
22071,Severe storm,12955286.4,FFFF00
22071,Tropical cyclone (Hurricane/Typhoon),2944149.0,00AAFF
22075,Flooding,687592.0,00AAFF
22079,Flooding,4718364.69,00AAFF
22079,Landslide/Debris flow,1000000.0,644117
22087,Tropical cyclone (Hurricane/Typhoon),19793231.0,00AAFF
22089,Flooding,71347229.93,00AAFF
22091,Flooding,13223685.1,00AAFF
22093,Flooding,119033171.94,00AAFF
22095,Flooding,57302181.0,00AAFF
22099,Flooding,7819105.08,00AAFF
22101,Flooding,1563837.54,00AAFF
22103,Flooding,62013921.82,00AAFF
22103,Infrastructure failure,509328.0,884DFF
22103,Severe storm,68304780.0,FFFF00
22103,Tropical cyclone (Hurricane/Typhoon),3296867.31,00AAFF
22105,Flooding,13223685.1,00AAFF
22105,Infrastructure failure,509328.0,884DFF
22105,Tropical cyclone (Hurricane/Typhoon),3296867.31,00AAFF
22109,Flooding,16631184.379999999,00AAFF
22109,Infrastructure failure,12570928.6,884DFF
22109,Landslide/Debris flow,17868880.0,644117
22109,Tropical cyclone (Hurricane/Typhoon),265153231.19,00AAFF
22113,Flooding,12762553.23,00AAFF
22113,Severe storm,5792369.0,FFFF00
22113,Tropical cyclone (Hurricane/Typhoon),901625.01,00AAFF
22117,Infrastructure failure,509328.0,884DFF
22117,Tropical cyclone (Hurricane/Typhoon),3296867.31,00AAFF
22125,Flooding,103885.3,00AAFF
22127,Severe storm,392797.15,FFFF00
23001,Flooding,100000.0,00AAFF
23001,Infrastructure failure,57960.0,884DFF
23001,Severe storm,69300.0,FFFF00
23003,Flooding,499225.0,00AAFF
23003,Infrastructure failure,1092960.0,884DFF
23005,Flooding,1196000.0,00AAFF
23005,Infrastructure failure,112780.5,884DFF
23005,Landslide/Debris flow,800000.15,644117
23005,Severe storm,4556074.58,FFFF00
23007,Infrastructure failure,104000.0,884DFF
23007,Winter storm,14700.0,A0E6FF
23009,Flooding,612017.21,00AAFF
23009,Severe storm,173351.7,FFFF00
23011,Fire,781259.85,FF1919
23011,Flooding,2151075.12,00AAFF
23011,Severe storm,2160097.56,FFFF00
23011,Winter storm,108000.0,A0E6FF
23013,Flooding,1902177.0,00AAFF
23013,Severe storm,21000.0,FFFF00
23015,Flooding,19347223.380000003,00AAFF
23015,Severe storm,42000.0,FFFF00
23017,Flooding,12000.0,00AAFF
23017,Severe storm,115500.0,FFFF00
23021,Flooding,39900.0,00AAFF
23021,Severe storm,31252.0,FFFF00
23023,Flooding,259185.15,00AAFF
23023,Infrastructure failure,7502775.0,884DFF
23025,Flooding,210038.0,00AAFF
23025,Severe storm,2160097.56,FFFF00
23025,Winter storm,14700.0,A0E6FF
23027,Flooding,131650.0,00AAFF
23029,Flooding,36225.0,00AAFF
23029,Winter storm,175938.0,A0E6FF
23031,Flooding,54400000.0,00AAFF
23031,Infrastructure failure,21529552.0,884DFF
23031,Severe storm,965690.0,FFFF00
24003,Flooding,21438139.12,00AAFF
24003,Severe storm,520000.0,FFFF00
24005,Infrastructure failure,31359916.0,884DFF
24009,Flooding,1552672.88,00AAFF
24009,Landslide/Debris flow,1006338.0,644117
24015,Flooding,6187945.0,00AAFF
24015,Severe storm,10804374.0,FFFF00
24017,Flooding,65875.0,00AAFF
24019,Flooding,17842842.3,00AAFF
24021,Flooding,2009626.54,00AAFF
24023,Infrastructure failure,58420.0,884DFF
24023,Severe storm,56500.0,FFFF00
24023,Winter storm,22470.0,A0E6FF
24025,Flooding,4147814.0,00AAFF
24027,Infrastructure failure,31359916.0,884DFF
24029,Infrastructure failure,2427626.76,884DFF
24029,Severe storm,36000.0,FFFF00
24031,Flooding,4226900.1,00AAFF
24033,Flooding,907078.11,00AAFF
24033,Infrastructure failure,100000.0,884DFF
24035,Flooding,188200.0,00AAFF
24035,Infrastructure failure,2427626.76,884DFF
24035,Severe storm,36000.0,FFFF00
24037,Flooding,1119346.5,00AAFF
24039,Flooding,41213056.85,00AAFF
24041,Flooding,4432405.0,00AAFF
24043,Flooding,100000.0,00AAFF
24043,Infrastructure failure,1390000.0,884DFF
24047,Flooding,3285222.0,00AAFF
24510,Flooding,15432850.530000001,00AAFF
25001,Flooding,6855065.0,00AAFF
25001,Severe storm,1143560.0,FFFF00
25003,Flooding,766040.0,00AAFF
25003,Infrastructure failure,760656.0,884DFF
25003,Landslide/Debris flow,1999791.47,644117
25003,Severe storm,2358930.0,FFFF00
25003,Winter storm,25000.0,A0E6FF
25005,Flooding,64093802.620000005,00AAFF
25007,Flooding,205000.0,00AAFF
25009,Dam/Levee break,24163537.46,00AAFF
25009,Flooding,70031553.35,00AAFF
25009,Severe storm,10063932.0,FFFF00
25011,Flooding,10102382.39,00AAFF
25011,Infrastructure failure,163623.75,884DFF
25011,Landslide/Debris flow,1999791.47,644117
25013,Flooding,19404897.48,00AAFF
25013,Infrastructure failure,480000.0,884DFF
25013,Severe storm,443128.08999999997,FFFF00
25015,Flooding,1863000.0,00AAFF
25015,Infrastructure failure,90800.0,884DFF
25017,Dam/Levee break,1900250.0,00AAFF
25017,Flooding,290630611.23,00AAFF
25017,Infrastructure failure,75600.0,884DFF
25017,Severe storm,134000.0,FFFF00
25021,Flooding,34423570.61,00AAFF
25021,Infrastructure failure,36937800.0,884DFF
25021,Severe storm,52800.0,FFFF00
25023,Flooding,37407840.61,00AAFF
25023,Infrastructure failure,35931800.0,884DFF
25025,Dam/Levee break,70940000.0,00AAFF
25025,Flooding,177351953.61,00AAFF
25027,Flooding,17473394.0,00AAFF
25027,Infrastructure failure,1346060.75,884DFF
25027,Severe storm,294800.0,FFFF00
26005,Severe storm,2640872.29,FFFF00
26005,Tornado,7053997.029999999,4F666A
26013,Severe storm,437946.0,FFFF00
26021,Severe storm,1359950.0,FFFF00
26027,Severe storm,1359950.0,FFFF00
26055,Flooding,87999.84,00AAFF
26065,Dam/Levee break,14628289.0,00AAFF
26065,Flooding,208927.2,00AAFF
26065,Infrastructure failure,72629072.43,884DFF
26073,Flooding,360000.0,00AAFF
26081,Flooding,2411210.0,00AAFF
26081,Infrastructure failure,117652.5,884DFF
