county,Hazard,totalSubapplicationAmount,Hazard_color
35049,Fire,211572.51,FF1919
35049,Flooding,2864814.8499999996,00AAFF
35049,Infrastructure failure,633499.0,884DFF
35061,Flooding,168000.0,00AAFF
35061,Infrastructure failure,300000.0,884DFF
36001,Dam/Levee break,13372134.34,00AAFF
36001,Flooding,56969944.56,00AAFF
36001,Infrastructure failure,1432142.31,884DFF
36001,Severe storm,5437498.5,FFFF00
36007,Flooding,33000.0,00AAFF
36007,Infrastructure failure,1257508.0,884DFF
36011,Flooding,25000.0,00AAFF
36015,Severe storm,128153.55,FFFF00
36023,Flooding,690000.0,00AAFF
36027,Flooding,456000.0,00AAFF
36029,Flooding,1450000.0,00AAFF
36029,Severe storm,29708271.0,FFFF00
36029,Winter storm,397309.5,A0E6FF
36033,Flooding,863362.75,00AAFF
36039,Flooding,2373200.0,00AAFF
36039,Infrastructure failure,1500000.0,884DFF
36041,Infrastructure failure,245000.0,884DFF
36041,Severe storm,240000.0,FFFF00
36043,Drought,157500.0,CC5500
36043,Flooding,1808500.0,00AAFF
36043,Landslide/Debris flow,90400.0,644117
36047,Flooding,315000.0,00AAFF
36049,Drought,157500.0,CC5500
36051,Severe storm,995000.0,FFFF00
36055,Flooding,120000.0,00AAFF
36059,Flooding,163321922.32,00AAFF
36059,Infrastructure failure,220000.0,884DFF
36059,Severe storm,6700000.0,FFFF00
36061,Extreme temperature,56356227.05,CC5500
36061,Flooding,225510748.47,00AAFF
36061,Severe storm,22815245.96,FFFF00
36061,Tropical cyclone (Hurricane/Typhoon),66099568.0,00AAFF
36067,Flooding,34600.0,00AAFF
36071,Flooding,2770062.0,00AAFF
36071,Severe storm,629225.0,FFFF00
36077,Severe storm,310000.0,FFFF00
36079,Flooding,456000.0,00AAFF
36081,Flooding,397401518.09000003,00AAFF
36087,Flooding,13167919.0,00AAFF
36097,Infrastructure failure,173775.0,884DFF
36097,Severe storm,85652.0,FFFF00
36099,Severe storm,85652.0,FFFF00
36101,Flooding,71000.0,00AAFF
36101,Infrastructure failure,173775.0,884DFF
36103,Flooding,2633288.0,00AAFF
36103,Severe storm,1295775.0,FFFF00
36109,Flooding,12710150.0,00AAFF
36109,Severe storm,117212.0,FFFF00
36111,Flooding,1062666.82,00AAFF
36113,Flooding,120000.0,00AAFF
36119,Dam/Levee break,446250.0,00AAFF
36119,Flooding,17166116.689999998,00AAFF
36123,Infrastructure failure,1200000.0,884DFF
37001,Flooding,2139946.0,00AAFF
37001,Infrastructure failure,278250.0,884DFF
37003,Flooding,10281242.7,00AAFF
37005,Flooding,2466760.0,00AAFF
37005,Infrastructure failure,1571700.0,884DFF
37007,Flooding,78750.0,00AAFF
37009,Flooding,2175000.0,00AAFF
37011,Drought,14000000.0,CC5500
37011,Flooding,21388342.5,00AAFF
37013,Flooding,45867271.02,00AAFF
37013,Infrastructure failure,233625.0,884DFF
37015,Flooding,157500.0,00AAFF
37017,Flooding,11917500.0,00AAFF
37017,Infrastructure failure,2992500.0,884DFF
37019,Flooding,1950000.0,00AAFF
37019,Infrastructure failure,1739258.0,884DFF
37021,Flooding,14593947.14,00AAFF
37023,Flooding,21701105.7,00AAFF
37023,Infrastructure failure,750000.0,884DFF
37025,Flooding,15006075.0,00AAFF
37025,Severe storm,706933.5,FFFF00
37027,Flooding,25306463.2,00AAFF
37027,Infrastructure failure,750000.0,884DFF
37031,Flooding,9502040.69,00AAFF
37031,Tropical cyclone (Hurricane/Typhoon),6953887.5,00AAFF
37033,Flooding,1312500.0,00AAFF
37033,Infrastructure failure,278250.0,884DFF
37035,Flooding,7773635.2,00AAFF
37035,Infrastructure failure,765065.0,884DFF
37037,Flooding,1049311.0,00AAFF
37039,Infrastructure failure,1802325.0,884DFF
37041,Flooding,157500.0,00AAFF
37047,Flooding,18126240.009999998,00AAFF
37049,Flooding,13712609.3,00AAFF
37049,Infrastructure failure,6000000.0,884DFF
37049,Severe storm,4964500.0,FFFF00
37051,Flooding,70515846.36,00AAFF
37051,Infrastructure failure,4147290.0,884DFF
37051,Severe storm,15771500.0,FFFF00
37051,Tropical cyclone (Hurricane/Typhoon),157500.0,00AAFF
37053,Flooding,10427838.75,00AAFF
37055,Flooding,64743529.019999996,00AAFF
37057,Flooding,420000.0,00AAFF
37059,Infrastructure failure,7260673.0,884DFF
37061,Flooding,210000.0,00AAFF
37061,Infrastructure failure,84000.0,884DFF
37063,Drought,258508.02,CC5500
37063,Flooding,961568.29,00AAFF
37065,Flooding,22986475.85,00AAFF
37065,Tropical cyclone (Hurricane/Typhoon),16955000.0,00AAFF
37071,Flooding,1179570.0,00AAFF
37071,Infrastructure failure,492660.0,884DFF
37077,Severe storm,157500.0,FFFF00
37079,Infrastructure failure,3298050.0,884DFF
37081,Flooding,1505139.3,00AAFF
37081,Infrastructure failure,7328233.45,884DFF
37083,Flooding,12181575.85,00AAFF
37085,Dam/Levee break,496915.0,00AAFF
37085,Flooding,742944.5,00AAFF
37085,Infrastructure failure,1154790.0,884DFF
37085,Severe storm,17739500.0,FFFF00
37087,Flooding,10365071.64,00AAFF
37091,Flooding,157500.0,00AAFF
37091,Tropical cyclone (Hurricane/Typhoon),280350.0,00AAFF
37093,Drought,24321529.5,CC5500
37093,Flooding,146475.0,00AAFF
37095,Flooding,10406349.19,00AAFF
37097,Infrastructure failure,7260673.0,884DFF
37101,Flooding,12366714.5,00AAFF
37101,Infrastructure failure,1154790.0,884DFF
37101,Severe storm,17739500.0,FFFF00
37103,Flooding,8996290.0,00AAFF
37107,Infrastructure failure,3298050.0,884DFF
37111,Flooding,11458700.5,00AAFF
37115,Flooding,1564185.0,00AAFF
37117,Flooding,35460921.83,00AAFF
37119,Flooding,4148643.44,00AAFF
37119,Severe storm,210000.0,FFFF00
37121,Flooding,6319530.0,00AAFF
37123,Infrastructure failure,1089900.0,884DFF
37125,Infrastructure failure,1089900.0,884DFF
37127,Chemical incident,3505700.0,FFFFFF
37127,Flooding,10804900.0,00AAFF
37129,Flooding,4700628.75,00AAFF
37129,Severe storm,3175583.0,FFFF00
37129,Tropical cyclone (Hurricane/Typhoon),743103.0,00AAFF
37133,Flooding,13700337.4,00AAFF
37133,Infrastructure failure,1402458.75,884DFF
37133,Severe storm,1591117.0,FFFF00
37135,Drought,258508.02,CC5500
37135,Flooding,16803421.64,00AAFF
37135,Infrastructure failure,19509787.0,884DFF
37137,Flooding,10107124.3,00AAFF
37137,Infrastructure failure,7415925.0,884DFF
37137,Severe storm,11205600.0,FFFF00
37137,Tropical cyclone (Hurricane/Typhoon),1425738.83,00AAFF
37141,Flooding,4876744.5,00AAFF
37143,Flooding,157500.0,00AAFF
37145,Severe storm,157500.0,FFFF00
37147,Flooding,59007621.53,00AAFF
37147,Infrastructure failure,627879.0,884DFF
37147,Tropical cyclone (Hurricane/Typhoon),16955000.0,00AAFF
37149,Flooding,239483.0,00AAFF
37151,Flooding,984946.0,00AAFF
37151,Infrastructure failure,7328233.45,884DFF
37153,Infrastructure failure,4436565.0,884DFF
37155,Flooding,6243165.01,00AAFF
37155,Infrastructure failure,5837632.5,884DFF
37157,Flooding,8863254.23,00AAFF
37159,Flooding,46502925.0,00AAFF
37161,Flooding,4231603.0,00AAFF
37161,Infrastructure failure,299999.7,884DFF
37163,Infrastructure failure,4147290.0,884DFF
37163,Severe storm,15771500.0,FFFF00
37165,Flooding,113414.79,00AAFF
37167,Severe storm,496933.5,FFFF00
37171,Flooding,2466760.0,00AAFF
37177,Flooding,210000.0,00AAFF
37179,Flooding,650000.0,00AAFF
37181,Severe storm,157500.0,FFFF00
37183,Dam/Levee break,496915.0,00AAFF
37183,Flooding,2483977.7800000003,00AAFF
37183,Infrastructure failure,14142205.3,884DFF
37183,Severe storm,7670164.0,FFFF00
37189,Drought,14000000.0,CC5500
37189,Flooding,23957112.5,00AAFF
37189,Infrastructure failure,750000.0,884DFF
37191,Flooding,832650.0,00AAFF
37193,Flooding,20582467.11,00AAFF
37193,Infrastructure failure,1117500.0,884DFF
37195,Flooding,30812013.7,00AAFF
37195,Severe storm,907593.75,FFFF00
37197,Flooding,8971167.11,00AAFF
37197,Infrastructure failure,7260673.0,884DFF
37199,Flooding,6319530.0,00AAFF
38005,Dam/Levee break,1800000.0,00AAFF
38005,Severe storm,489000.0,FFFF00
38015,Flooding,90408569.73,00AAFF
38015,Severe storm,50488042.0,FFFF00
38017,Infrastructure failure,22568734.6,884DFF
38017,Landslide/Debris flow,100000.0,644117
38017,Severe storm,350000.0,FFFF00
38021,Flooding,131194.66999999998,00AAFF
38025,Fire,140700.0,FF1919
38025,Flooding,93185.34,00AAFF
38027,Severe storm,203497.02,FFFF00
38029,Flooding,7721432.8,00AAFF
38029,Severe storm,17915520.0,FFFF00
38031,Severe storm,203497.02,FFFF00
38035,Flooding,13613221.34,00AAFF
38035,Infrastructure failure,19787354.0,884DFF
38035,Severe storm,28930443.880000003,FFFF00
38039,Flooding,35449.34,00AAFF
38045,Flooding,63861.33,00AAFF
38051,Flooding,46666.67,00AAFF
38053,Flooding,32753.33,00AAFF
38055,Infrastructure failure,12735826.5,884DFF
38057,Flooding,400086.00999999995,00AAFF
38059,Flooding,47117807.8,00AAFF
38059,Severe storm,43570000.0,FFFF00
38065,Flooding,400086.00999999995,00AAFF
38067,Flooding,406533.33999999997,00AAFF
38069,Severe storm,489000.0,FFFF00
38081,Flooding,137944.0,00AAFF
38081,Severe storm,50000.0,FFFF00
38083,Flooding,143583.33000000002,00AAFF
38083,Severe storm,489000.0,FFFF00
38085,Winter storm,2481000.0,A0E6FF
38089,Fire,140700.0,FF1919
38089,Flooding,93185.34,00AAFF
38091,Flooding,742449.34,00AAFF
38091,Severe storm,28930443.880000003,FFFF00
38093,Severe storm,203497.02,FFFF00
38097,Flooding,45333.34,00AAFF
38101,Flooding,41186332.78,00AAFF
38103,Severe storm,3641867.23,FFFF00
39017,Flooding,685000.0,00AAFF
39017,Severe storm,387415.5,FFFF00
39017,Tornado,449500.0,4F666A
39021,Flooding,33500.0,00AAFF
39025,Severe storm,340200.0,FFFF00
39029,Flooding,4393388.77,00AAFF
39031,Tornado,74335.59,4F666A
39033,Flooding,181816.2,00AAFF
39035,Flooding,3345154.0,00AAFF
39035,Infrastructure failure,383725.48,884DFF
39035,Landslide/Debris flow,450000.0,644117
39037,Flooding,58600.0,00AAFF
39037,Tornado,10355250.0,4F666A
39041,Flooding,2683914.02,00AAFF
39041,Tornado,2431275.0,4F666A
39045,Fire,2136001.0,FF1919
39045,Flooding,246960.0,00AAFF
39049,Fire,2136001.0,FF1919
39049,Flooding,41487411.410000004,00AAFF
39049,Tornado,2611155.12,4F666A
39049,Winter storm,380500.0,A0E6FF
39055,Flooding,1990763.46,00AAFF
39061,Flooding,826472.31,00AAFF
39061,Landslide/Debris flow,787494.22,644117
39061,Severe storm,727615.5,FFFF00
39063,Flooding,84186474.75,00AAFF
39073,Flooding,246960.0,00AAFF
39075,Tornado,74335.59,4F666A
39079,Flooding,395992.0,00AAFF
39089,Fire,2136001.0,FF1919
39089,Flooding,514976.28,00AAFF
39089,Tornado,179880.12,4F666A
39091,Flooding,0.0,00AAFF
39095,Flooding,4324059.970000001,00AAFF
39095,Landslide/Debris flow,2681083.44,644117
39099,Dam/Levee break,54684299.0,00AAFF
39099,Flooding,55864998.769999996,00AAFF
39099,Infrastructure failure,366890.0,884DFF
39101,Flooding,181816.2,00AAFF
39103,Flooding,9210857.0,00AAFF
39109,Flooding,33500.0,00AAFF
39113,Flooding,743600.0,00AAFF
39113,Tornado,10804750.0,4F666A
39119,Landslide/Debris flow,5624620.0,644117
39123,Flooding,1229400.0,00AAFF
39133,Flooding,1990763.46,00AAFF
39135,Flooding,685000.0,00AAFF
39135,Tornado,449500.0,4F666A
39145,Flooding,395992.0,00AAFF
39149,Flooding,33500.0,00AAFF
39153,Dam/Levee break,445444.03,00AAFF
39153,Flooding,11099763.46,00AAFF
39155,Dam/Levee break,54684299.0,00AAFF
39157,Flooding,120558.0,00AAFF
39159,Flooding,181816.2,00AAFF
39165,Flooding,685000.0,00AAFF
39165,Severe storm,340200.0,FFFF00
39165,Tornado,449500.0,4F666A
39169,Flooding,9210857.0,00AAFF
40013,Flooding,4500000.0,00AAFF
40013,Infrastructure failure,1907824.4,884DFF
40013,Severe storm,1000000.0,FFFF00
40013,Tornado,762500.0,4F666A
40015,Drought,677016.14,CC5500
40015,Infrastructure failure,1682694.0,884DFF
40015,Severe storm,4228668.0,FFFF00
40015,Tornado,40950.0,4F666A
40017,Severe storm,1333993.58,FFFF00
40021,Infrastructure failure,2317439.23,884DFF
40021,Tornado,348670.0,4F666A
40027,Flooding,3594240.0,00AAFF
40031,Flooding,43454200.0,00AAFF
40035,Flooding,5522978.14,00AAFF
40069,Drought,1074931.0,CC5500
40081,Tornado,210840.0,4F666A
40083,Tornado,210840.0,4F666A
40091,Tornado,1523984.5,4F666A
40101,Flooding,650000.0,00AAFF
40103,Drought,250000.0,CC5500
40103,Flooding,706172.0,00AAFF
40103,Infrastructure failure,3348000.0,884DFF
40103,Tornado,580205.4,4F666A
40107,Flooding,123668800.04,00AAFF
40107,Tornado,1400000.0,4F666A
40107,Winter storm,828897.0,A0E6FF
40109,Flooding,33847066.5,00AAFF
40109,Severe storm,19266000.0,FFFF00
40109,Tornado,1863191.0,4F666A
40111,Flooding,123668800.04,00AAFF
40111,Tornado,1400000.0,4F666A
40111,Winter storm,828897.0,A0E6FF
40113,Flooding,35227145.129999995,00AAFF
40113,Severe storm,303417.91,FFFF00
40113,Tornado,34500.0,4F666A
40115,Flooding,5522978.14,00AAFF
40115,Tornado,3823356.6,4F666A
40119,Tornado,210840.0,4F666A
40123,Drought,1074931.0,CC5500
40125,Tornado,465984.12,4F666A
40143,Flooding,38519188.89,00AAFF
40143,Severe storm,303417.91,FFFF00
41001,Fire,50000.0,FF1919
41003,Earthquake,4720128.12,FFFFFF
41005,Fire,255174404.57999998,FF1919
41005,Flooding,12066391.0,00AAFF
41007,Earthquake,7035000.0,FFFFFF
41007,Flooding,300000.0,00AAFF
41007,Tsunami,22263757.38,00AAFF
41009,Flooding,549106.0,00AAFF
41011,Landslide/Debris flow,1639700.0,644117
41015,Drought,79575911.0,CC5500
41015,Fire,350867.16,FF1919
41017,Fire,60106799.0,FF1919
41019,Earthquake,9652500.0,FFFFFF
41025,Fire,4922101.8,FF1919
41027,Earthquake,6388542.11,FFFFFF
41029,Earthquake,49323339.0,FFFFFF
41029,Fire,5626212.66,FF1919
41029,Flooding,247489543.78,00AAFF
41029,Severe storm,305183.26,FFFF00
41033,Flooding,247489543.78,00AAFF
41035,Fire,105518.2,FF1919
41039,Earthquake,51983348.36,FFFFFF
41039,Fire,2784187.56,FF1919
41039,Flooding,27310110.0,00AAFF
41039,Infrastructure failure,3549233.66,884DFF
41039,Winter storm,122700.0,A0E6FF
41041,Infrastructure failure,866580.75,884DFF
41047,Earthquake,444876.34,FFFFFF
41047,Fire,1322745.57,FF1919
41047,Flooding,13188320.0,00AAFF
41049,Flooding,528376.0,00AAFF
41051,Earthquake,4457957.0,FFFFFF
41051,Extreme temperature,11687129.85,CC5500
41051,Flooding,5498895.25,00AAFF
41051,Landslide/Debris flow,143714.21,644117
41059,Flooding,528376.0,00AAFF
41061,Fire,50000.0,FF1919
41061,Flooding,730000.0,00AAFF
41065,Earthquake,566088.4,FFFFFF
41067,Earthquake,50255288.8,FFFFFF
41067,Flooding,49949119.28,00AAFF
41071,Earthquake,36993691.8,FFFFFF
41071,Flooding,49949119.28,00AAFF
42001,Flooding,105000.0,00AAFF
42003,Flooding,109584283.81,00AAFF
42003,Landslide/Debris flow,3950979.25,644117
42007,Flooding,105000.0,00AAFF
42011,Flooding,1516200.0,00AAFF
42011,Infrastructure failure,430000.0,884DFF
42013,Flooding,314996.36,00AAFF
42015,Flooding,10500.0,00AAFF
42017,Extreme temperature,67759.65,CC5500
42017,Flooding,5183375.46,00AAFF
42017,Infrastructure failure,634294.32,884DFF
42019,Winter storm,105000.0,A0E6FF
42021,Flooding,97500.68,00AAFF
42023,Disease,73500.0,FFFFFF
42023,Flooding,3499.98,00AAFF
42025,Dam/Levee break,20197000.0,00AAFF
42025,Flooding,364000.0,00AAFF
42027,Flooding,585761.0,00AAFF
42029,Flooding,9049830.0,00AAFF
42029,Severe storm,690400.0,FFFF00
42035,Biological incident,45000.0,FFFFFF
42037,Flooding,945941.51,00AAFF
42037,Severe storm,107138.5,FFFF00
42041,Flooding,83955.92,00AAFF
42043,Dam/Levee break,200000.0,00AAFF
42043,Extreme temperature,200000.0,CC5500
42043,Flooding,2064998.95,00AAFF
42043,Landslide/Debris flow,84000.0,644117
42043,Severe storm,68250.0,FFFF00
42045,Flooding,20853830.0,00AAFF
42045,Severe storm,280500.0,FFFF00
42047,Disease,73500.0,FFFFFF
42049,Flooding,50000.0,00AAFF
42049,Winter storm,225000.0,A0E6FF
42051,Dam/Levee break,840060.0,00AAFF
42053,Flooding,50000.0,00AAFF
42061,Landslide/Debris flow,36750.0,644117
42063,Flooding,45000.0,00AAFF
42065,Flooding,50000.0,00AAFF
42069,Dam/Levee break,9706912.5,00AAFF
42069,Flooding,61191570.57,00AAFF
42069,Infrastructure failure,105000.0,884DFF
42069,Severe storm,200000.0,FFFF00
42071,Flooding,15402591.2,00AAFF
42071,Infrastructure failure,4500000.0,884DFF
42071,Severe storm,5771855.31,FFFF00
42075,Flooding,10065248.0,00AAFF
42075,Radiological incident,55000.0,FFFFFF
42077,Flooding,133333.0,00AAFF
42079,Dam/Levee break,20197000.0,00AAFF
42079,Flooding,53062227.51,00AAFF
42079,Infrastructure failure,2508572.0,884DFF
42079,Severe storm,107138.5,FFFF00
42081,Biological incident,45000.0,FFFFFF
42081,Flooding,2082500.0,00AAFF
42081,Infrastructure failure,9360000.0,884DFF
42085,Severe storm,12573.75,FFFF00
42085,Winter storm,50000.0,A0E6FF
42089,Flooding,815500.0,00AAFF
42089,Infrastructure failure,63500.0,884DFF
42091,Extreme temperature,67759.65,CC5500
42091,Flooding,13519856.62,00AAFF
42091,Infrastructure failure,15665000.0,884DFF
42093,Flooding,945941.51,00AAFF
42093,Severe storm,107138.5,FFFF00
42095,Flooding,20456620.0,00AAFF
42095,Infrastructure failure,636781.25,884DFF
42097,Flooding,11781046.64,00AAFF
42097,Infrastructure failure,1560132.56,884DFF
42097,Severe storm,790000.0,FFFF00
42101,Flooding,127590236.32,00AAFF
42101,Infrastructure failure,180210892.0,884DFF
42103,Severe storm,51224.0,FFFF00
42105,Flooding,3499.98,00AAFF
42107,Flooding,4696135.949999999,00AAFF
42109,Flooding,423650.0,00AAFF
42111,Flooding,750400.0,00AAFF
42113,Flooding,2082500.0,00AAFF
42113,Infrastructure failure,9360000.0,884DFF
42115,Flooding,55500.0,00AAFF
42117,Flooding,75600.0,00AAFF
42119,Flooding,529732.0,00AAFF
42121,Severe storm,105000.0,FFFF00
42125,Flooding,13177104.15,00AAFF
42125,Landslide/Debris flow,949281.25,644117
42127,Flooding,3444353.0,00AAFF
42129,Flooding,2469631.0,00AAFF
42129,Tropical cyclone (Hurricane/Typhoon),420000.0,00AAFF
42131,Flooding,494005.0,00AAFF
42131,Infrastructure failure,105000.0,884DFF
42131,Severe storm,200000.0,FFFF00
42133,Fire,107200.0,FF1919
42133,Flooding,7480351.0,00AAFF
44001,Flooding,328148.5,00AAFF
44003,Fire,2000000.0,FF1919
44003,Flooding,50000.0,00AAFF
44003,Infrastructure failure,445540.0,884DFF
44003,Severe storm,209035.11,FFFF00
44005,Flooding,259713.93,00AAFF
44005,Infrastructure failure,42098365.0,884DFF
44007,Dam/Levee break,3040966.16,00AAFF
44007,Fire,2000000.0,FF1919
44007,Flooding,2754910.83,00AAFF
44007,Severe storm,88500.0,FFFF00
44007,Tropical cyclone (Hurricane/Typhoon),61980.0,00AAFF
44009,Flooding,5982438.45,00AAFF
44009,Severe storm,332563.11,FFFF00
44009,Tropical cyclone (Hurricane/Typhoon),142331.2,00AAFF
45001,Flooding,350000.0,00AAFF
45001,Winter storm,775690.0,A0E6FF
45003,Infrastructure failure,11758982.0,884DFF
45007,Flooding,323000.0,00AAFF
45007,Infrastructure failure,900000.0,884DFF
45013,Flooding,6093316.98,00AAFF
45015,Flooding,174927.14,00AAFF
45019,Flooding,128558777.27,00AAFF
45019,Severe storm,157500.0,FFFF00
45021,Flooding,450000.0,00AAFF
45023,Infrastructure failure,14695302.0,884DFF
45027,Flooding,71500.0,00AAFF
45029,Flooding,191984.53,00AAFF
45029,Infrastructure failure,269056.88,884DFF
45031,Infrastructure failure,144900.0,884DFF
45033,Flooding,2232825.0,00AAFF
45035,Infrastructure failure,269056.88,884DFF
45039,Tropical cyclone (Hurricane/Typhoon),76751.04,00AAFF
45041,Infrastructure failure,144900.0,884DFF
45043,Flooding,1986032.7,00AAFF
45043,Infrastructure failure,181137.73,884DFF
45045,Cyber incident,51476.25,FFFFFF
45045,Flooding,5494854.3,00AAFF
45045,Infrastructure failure,19509903.26,884DFF
45047,Flooding,350000.0,00AAFF
45049,Flooding,86984.53,00AAFF
45051,Flooding,11210156.67,00AAFF
45051,Severe storm,6301879.04,FFFF00
45053,Flooding,1336984.53,00AAFF
45063,Flooding,269488.0,00AAFF
45063,Severe storm,547858.74,FFFF00
45065,Winter storm,775690.0,A0E6FF
45067,Flooding,863929.0,00AAFF
45069,Flooding,225000.0,00AAFF
45073,Dam/Levee break,133500.0,00AAFF
45073,Infrastructure failure,8185338.87,884DFF
45075,Infrastructure failure,269056.88,884DFF
45077,Flooding,864999.64,00AAFF
45079,Dam/Levee break,46622548.35,00AAFF
45079,Disease,35050639.0,FFFFFF
45079,Flooding,29959628.310000002,00AAFF
45079,Severe storm,3482313.0,FFFF00
45079,Tropical cyclone (Hurricane/Typhoon),296959.96,00AAFF
45083,Cyber incident,51476.25,FFFFFF
45083,Flooding,276000.0,00AAFF
45083,Winter storm,331018.0,A0E6FF
45085,Flooding,152150.0,00AAFF
45089,Flooding,1986032.7,00AAFF
45089,Infrastructure failure,181137.73,884DFF
45091,Infrastructure failure,15095302.0,884DFF
46003,Tornado,10432.2,4F666A
46003,Winter storm,10000.0,A0E6FF
46011,Severe storm,18900.0,FFFF00
46015,Flooding,522797.96,00AAFF
46017,Flooding,449897.96,00AAFF
46021,Drought,4389000.0,CC5500
46023,Winter storm,328675.89,A0E6FF
46025,Flooding,82711.75,00AAFF
46029,Flooding,17650.0,00AAFF
46033,Fire,30000.0,FF1919
46033,Flooding,954055.0,00AAFF
46035,Winter storm,422940.73,A0E6FF
46037,Flooding,63211.75,00AAFF
46043,Flooding,14305076.0,00AAFF
46043,Winter storm,273638.04,A0E6FF
46047,Fire,14000.0,FF1919
46049,Flooding,16200.0,00AAFF
46049,Winter storm,16200.0,A0E6FF
46051,Flooding,284348.75,00AAFF
46051,Severe storm,20850.0,FFFF00
46053,Flooding,14400.0,00AAFF
46057,Flooding,17650.0,00AAFF
46057,Severe storm,16900.0,FFFF00
46059,Flooding,32400.0,00AAFF
46061,Flooding,461975.0,00AAFF
46061,Winter storm,422940.73,A0E6FF
46063,Winter storm,10000.0,A0E6FF
46065,Flooding,5000.0,00AAFF
46065,Severe storm,398673.45,FFFF00
46065,Winter storm,378689.0,A0E6FF
46067,Flooding,14767051.0,00AAFF
46069,Severe storm,398673.45,FFFF00
46069,Winter storm,378689.0,A0E6FF
46073,Flooding,58500.0,00AAFF
46073,Tornado,10432.2,4F666A
46073,Winter storm,10000.0,A0E6FF
46077,Flooding,12673.0,00AAFF
46077,Severe storm,19200.0,FFFF00
46079,Flooding,18050.0,00AAFF
46079,Infrastructure failure,195583.5,884DFF
46081,Flooding,151700.0,00AAFF
46083,Flooding,2100425.73,00AAFF
46085,Winter storm,14400.0,A0E6FF
46089,Winter storm,16200.0,A0E6FF
46091,Extreme temperature,19080.0,CC5500
46091,Flooding,2315048.1799999997,00AAFF
46091,Winter storm,36083.0,A0E6FF
46093,Fire,2616610.0,FF1919
46093,Flooding,221700.0,00AAFF
46093,Winter storm,1342292.22,A0E6FF
46097,Extreme temperature,17425.0,CC5500
46099,Flooding,2088775.73,00AAFF
46099,Infrastructure failure,195583.5,884DFF
46099,Tornado,485973.18,4F666A
46101,Flooding,172200.0,00AAFF
46101,Severe storm,37800.0,FFFF00
46102,Flooding,327777.78,00AAFF
46102,Infrastructure failure,2467125.0,884DFF
46103,Fire,2632610.0,FF1919
46103,Flooding,1191255.0,00AAFF
46103,Winter storm,1342292.22,A0E6FF
46105,Fire,14000.0,FF1919
46107,Severe storm,16200.0,FFFF00
46109,Extreme temperature,19080.0,CC5500
46109,Flooding,2599396.9299999997,00AAFF
46109,Severe storm,20850.0,FFFF00
46109,Winter storm,19883.0,A0E6FF
46111,Tornado,10432.2,4F666A
46111,Winter storm,10000.0,A0E6FF
46115,Flooding,16200.0,00AAFF
46119,Flooding,5000.0,00AAFF
46119,Severe storm,414873.45,FFFF00
46119,Winter storm,378689.0,A0E6FF
46125,Tornado,485973.18,4F666A
46127,Tornado,12500.0,4F666A
46129,Drought,4389000.0,CC5500
47009,Severe storm,550000.0,FFFF00
47019,Flooding,280000.0,00AAFF
47037,Flooding,3937301.0,00AAFF
47037,Landslide/Debris flow,580868.0,644117
47037,Severe storm,738500.0,FFFF00
47065,Severe storm,49999972.84,FFFF00
47065,Tornado,106400809.48,4F666A
47075,Disease,790000.0,FFFFFF
47113,Disease,790000.0,FFFFFF
47149,Flooding,60000.0,00AAFF
47149,Tornado,22877842.65,4F666A
47157,Fire,2010000.0,FF1919
47171,Flooding,280000.0,00AAFF
47179,Flooding,748055.0,00AAFF
47179,Winter storm,160692.0,A0E6FF
48001,Flooding,725456.98,00AAFF
48013,Severe storm,60000.0,FFFF00
48025,Flooding,150000.0,00AAFF
48029,Flooding,63631441.269999996,00AAFF
48029,Infrastructure failure,16709604.0,884DFF
48031,Flooding,700000.0,00AAFF
48039,Flooding,17849447.5,00AAFF
48039,Tropical cyclone (Hurricane/Typhoon),3673032.0,00AAFF
48041,Flooding,650000.0,00AAFF
48043,Flooding,106492.76,00AAFF
48055,Flooding,94834175.5,00AAFF
48055,Severe storm,68748.0,FFFF00
48059,Flooding,931141.06,00AAFF
48061,Drought,25143666.0,CC5500
48061,Flooding,121036724.18,00AAFF
48061,Tropical cyclone (Hurricane/Typhoon),408060.0,00AAFF
48071,Flooding,12062974.24,00AAFF
48085,Flooding,5633575.1,00AAFF
48085,Infrastructure failure,5560137.0,884DFF
48089,Flooding,3663286.88,00AAFF
48091,Flooding,110094516.14,00AAFF
48091,Severe storm,68748.0,FFFF00
48113,Extreme temperature,1741334.0,CC5500
48113,Flooding,17101412.1,00AAFF
48113,Infrastructure failure,5560137.0,884DFF
48119,Tornado,5364555.0,4F666A
48121,Infrastructure failure,553067.0,884DFF
48139,Flooding,464417.0,00AAFF
48157,Flooding,62544134.09,00AAFF
48167,Flooding,198740767.39,00AAFF
48175,Flooding,77076.0,00AAFF
48175,Tropical cyclone (Hurricane/Typhoon),1329675.0,00AAFF
48183,Flooding,184204.0,00AAFF
48183,Tornado,1921340.0,4F666A
48187,Flooding,98287491.5,00AAFF
48187,Severe storm,68748.0,FFFF00
48199,Flooding,371725.0,00AAFF
48201,Flooding,616833747.78,00AAFF
48203,Flooding,184204.0,00AAFF
48203,Tornado,1921340.0,4F666A
48209,Flooding,94834175.5,00AAFF
48209,Severe storm,68748.0,FFFF00
48213,Flooding,950356.48,00AAFF
48215,Flooding,305130256.01,00AAFF
48215,Infrastructure failure,57384928.18,884DFF
48223,Tornado,5364555.0,4F666A
48239,Flooding,17958649.27,00AAFF
48241,Flooding,1509066.58,00AAFF
48243,Flooding,4907924.0,00AAFF
48245,Flooding,389186649.94,00AAFF
