county,zip,res_ratio,bus_ratio,oth_ratio,tot_ratio
01027,36276,0.018335090,0.017341040,0.000000000,0.017864232
01027,36268,0.002528978,0.000000000,0.000000000,0.002381898
01027,35072,0.098524763,0.034682081,0.000000000,0.093985709
01027,36258,0.081138040,0.130057803,0.016666667,0.081282255
01029,36207,0.003453379,0.000000000,0.000000000,0.003192338
01029,36261,0.000000000,0.001801802,0.000000000,0.000114012
01029,36269,0.091021214,0.023423423,0.064814815,0.086421161
01029,36272,0.026270350,0.005405405,0.000000000,0.024626610
01029,36268,0.000123335,0.000000000,0.000000000,0.000114012
01029,36264,0.555994080,0.673873874,0.750000000,0.565841979
01029,36258,0.042057227,0.034234234,0.027777778,0.041386387
01029,36262,0.099901332,0.070270270,0.055555556,0.097480333
01029,36273,0.181179082,0.190990991,0.101851852,0.180823167
01031,36311,0.004171521,0.000000000,0.000000000,0.003785554
01031,36360,0.000375813,0.000000000,0.000000000,0.000341041
01031,36467,0.007065279,0.000000000,0.000000000,0.006411568
01031,36322,0.000225488,0.000000000,0.000000000,0.000204625
01031,36079,0.008493367,0.002822201,0.000000000,0.007912148
01031,36346,0.030065016,0.007525870,0.003407155,0.027897142
01031,36009,0.002066970,0.000470367,0.001703578,0.001943933
01031,36453,0.024841219,0.014581373,0.003407155,0.023668235
01031,36351,0.078131459,0.058325494,0.005110733,0.075233613
01031,36330,0.627419294,0.749764817,0.764906303,0.639042357
01031,36323,0.164004660,0.148165569,0.209540034,0.163767819
01031,36316,0.017663197,0.008936971,0.000000000,0.016676898
01031,36034,0.005261378,0.000470367,0.008517888,0.004979197
01031,36318,0.007140441,0.000470367,0.000000000,0.006513880
01031,36477,0.006276072,0.003292568,0.000000000,0.005934111
01031,36010,0.016798827,0.005174036,0.003407155,0.015687879
01033,35646,0.074616662,0.034389140,0.028292683,0.069458311
01033,35653,0.006836605,0.000603318,0.002926829,0.006132869
01033,35674,0.338672396,0.326696833,0.418536585,0.339875061
01033,35616,0.077937299,0.035897436,0.007804878,0.071911458
01033,35660,0.179574828,0.231070890,0.215609756,0.185497903
01033,35582,0.000032555,0.000000000,0.000000000,0.000028525
01033,35672,0.002734642,0.000603318,0.000000000,0.002453148
01033,35661,0.301396621,0.356259427,0.320975610,0.307156916
01033,35654,0.018198392,0.014479638,0.005853659,0.017485809
01035,36456,0.031696854,0.008379888,0.000000000,0.029581294
01035,36502,0.002859867,0.001396648,0.000000000,0.002718869
01035,36033,0.005719733,0.002793296,0.000000000,0.005437738
01035,36426,0.012154433,0.008379888,0.000000000,0.011745514
01035,36442,0.000238322,0.000000000,0.000000000,0.000217510
01035,36432,0.227478551,0.071229050,0.045977011,0.213594345
01035,36475,0.086749285,0.025139665,0.022988506,0.081348559
01035,36473,0.013703527,0.001396648,0.022988506,0.012833061
01035,36471,0.006196378,0.000000000,0.000000000,0.005655247
01035,36330,0.000714967,0.000000000,0.000000000,0.000652529
01035,36421,0.013584366,0.005586592,0.000000000,0.012833061
01035,36474,0.008460439,0.001396648,0.000000000,0.007830343
01035,36401,0.580552908,0.857541899,0.896551724,0.605111474
01035,36460,0.003813155,0.012569832,0.000000000,0.004458945
01035,36454,0.006077216,0.004189944,0.011494253,0.005981512
01037,35150,0.012017774,0.013840830,0.000000000,0.012014065
01037,36026,0.079175924,0.069204152,0.106382979,0.079019340
01037,35010,0.101393658,0.051903114,0.276595745,0.100800938
01037,35183,0.078670976,0.083044983,0.021276596,0.078530963
01037,35151,0.158149869,0.131487889,0.042553191,0.156866576
01037,35072,0.224096142,0.211072664,0.212765957,0.223676499
01037,35136,0.205917996,0.245674740,0.170212766,0.206876343
01037,36080,0.001211876,0.000000000,0.000000000,0.001172104
01037,35046,0.014441527,0.017301038,0.000000000,0.014455948
01037,35089,0.124924258,0.176470588,0.170212766,0.126587224
01039,36038,0.000000000,0.000000000,0.006309148,0.000077933
01039,36028,0.028148667,0.006791850,0.000000000,0.025717960
01039,36420,0.303418991,0.507790651,0.337539432,0.323773526
01039,36467,0.234294970,0.227327207,0.261829653,0.233955500
01039,36442,0.126165565,0.137435078,0.252365931,0.128823598
01039,36477,0.000262663,0.000399521,0.000000000,0.000272766
01039,36453,0.000306440,0.000000000,0.000000000,0.000272766
01039,36476,0.000000000,0.000399521,0.000000000,0.000038967
01039,36401,0.000175108,0.000000000,0.000000000,0.000155866
01039,36456,0.004115046,0.001598082,0.000000000,0.003818727
01039,36483,0.008886749,0.002796644,0.000000000,0.008182987
01039,36474,0.068248479,0.015581302,0.000000000,0.062268636
01039,36455,0.000000000,0.000399521,0.000000000,0.000038967
01039,36421,0.225977323,0.099480623,0.141955836,0.212601800
01041,36042,0.059225777,0.010954617,0.013986014,0.055260361
01041,36049,0.399745016,0.732394366,0.650349650,0.426142402
01041,36028,0.071974965,0.032863850,0.041958042,0.068862912
01041,36323,0.001043115,0.003129890,0.006993007,0.001275239
01041,36037,0.002781641,0.003129890,0.000000000,0.002763018
01041,36046,0.064441354,0.021909233,0.000000000,0.060573858
01041,36036,0.051460362,0.026604069,0.000000000,0.048990436
01041,36035,0.026425591,0.007824726,0.013986014,0.024973433
01041,36071,0.051692165,0.026604069,0.055944056,0.050053135
01041,36041,0.102573018,0.068857590,0.020979021,0.099043571
01041,36467,0.000579509,0.000000000,0.000000000,0.000531350
01041,36009,0.153453871,0.061032864,0.181818182,0.147608927
01041,36034,0.014603616,0.004694836,0.013986014,0.013921360
01043,35055,0.224383260,0.466095090,0.478543563,0.246891119
01043,35057,0.153964758,0.078981554,0.107932380,0.147486905
01043,35179,0.102907489,0.041049623,0.075422627,0.097724819
01043,35976,0.000220264,0.000000000,0.000000000,0.000199928
01043,35621,0.001850220,0.000519615,0.000000000,0.001719381
01043,35070,0.000000000,0.000259808,0.000000000,0.000019993
01043,35098,0.015044053,0.002857885,0.002600780,0.013914991
01043,35016,0.023039648,0.010392310,0.013003901,0.021912112
01043,35622,0.016365639,0.001558846,0.009102731,0.015114559
01043,35077,0.150572687,0.106521174,0.154746424,0.147246991
01043,35083,0.034339207,0.012210964,0.007802341,0.032228398
01043,35087,0.011916300,0.003377501,0.009102731,0.011215962
01043,35056,0.033061674,0.131202910,0.001300390,0.040125555
01043,35540,0.001387665,0.000259808,0.000000000,0.001279539
01043,35019,0.020748899,0.011431541,0.011703511,0.019892839
01043,35053,0.048612335,0.009872694,0.019505852,0.045183734
01043,35033,0.043281938,0.010652117,0.007802341,0.040225519
01043,35670,0.000022026,0.000000000,0.000000000,0.000019993
01043,35541,0.000198238,0.000000000,0.000000000,0.000179935
01043,35619,0.000286344,0.000000000,0.000000000,0.000259906
01043,35058,0.117797357,0.112756560,0.101430429,0.117157823
01045,36350,0.104454303,0.041302235,0.152397260,0.101145472
01045,36330,0.062786158,0.027696793,0.051369863,0.060226498
01045,36360,0.385590062,0.459669582,0.476027397,0.392251030
01045,36362,0.100727595,0.007774538,0.027397260,0.093130415
01045,36374,0.020727595,0.011661808,0.000000000,0.019729370
01045,36322,0.169511979,0.253644315,0.203767123,0.175779602
01045,36345,0.003620231,0.001943635,0.000000000,0.003439660
01045,36317,0.000532387,0.000485909,0.000000000,0.000519194
01045,36361,0.057355812,0.123420797,0.003424658,0.060745692
01045,36352,0.029494232,0.009232264,0.003424658,0.027647078
01045,36353,0.009405501,0.003887269,0.000000000,0.008858747
01045,36371,0.000000000,0.000485909,0.000000000,0.000032450
01045,36303,0.020905058,0.043245870,0.071917808,0.023363728
01045,36311,0.034889086,0.015549077,0.010273973,0.033131064
01047,36775,0.019310914,0.007269423,0.002915452,0.017370609
01047,36759,0.041056323,0.013630168,0.001749271,0.036517353
01047,36785,0.006767072,0.003180373,0.000000000,0.006074385
01047,36703,0.288095729,0.347114948,0.331778426,0.295371390
01047,36758,0.017041469,0.006360745,0.000583090,0.015203723
01047,36773,0.008500103,0.001363017,0.002332362,0.007566339
01047,36701,0.554446049,0.599727397,0.636734694,0.562999538
01047,36749,0.010810811,0.003180373,0.006413994,0.009946361
01047,36761,0.015762327,0.011358473,0.001749271,0.014564314
01047,36767,0.038209202,0.006815084,0.015743440,0.034385990
01049,35974,0.023208458,0.023470566,0.001703578,0.022902523
