,name,iso3,year,pop_t,pop_u,pop_r,wat_pop_sm_t,wat_pop_sm_r,wat_pop_sm_u,wat_pop_basal_sub_t,wat_pop_basal_sub_r,wat_pop_basal_sub_u,wat_pop_unimp_t,wat_pop_unimp_r,wat_pop_unimp_u,wat_pop_ns_t,wat_pop_ns_r,wat_pop_ns_u
1218,Cuba,CUB,2022,11212.191,867834.8065404054,-856622.6155404054,,,,,,,24381.056594335634,-1970677.2513766498,1855186.892863203,2800.259647331936,-899166.1132582679,14057.52884177932
1241,Curaçao,CUW,2022,191.163,17018.28636669159,-16827.12336669159,,,,,,,,,,,,
1264,Cyprus,CYP,2022,1251.488,83738.30791552734,-82486.81991552735,124854.77883237571,,,0.0,,,246.47121760258483,-8781.377400352865,20238.406316088112,47.54995002171553,-3941.248124567299,2776.387870077065
1287,Czechia,CZE,2022,10493.986,780511.1851929628,-770017.1991929627,1027187.1512447218,-75200673.7859346,76458894.4580815,20961.159884850687,-1660594.4599235102,1516242.0248522344,703.931043279071,-140451.673438163,21346.253399041758,546.3578271484375,-0.0,54635.7829635074
1310,Democratic People's Republic of Korea,PRK,2022,26069.416,1640183.3866029053,-1614113.9706029054,1734434.7402457679,-78820922.98616987,126234426.56565094,713157.6046937797,-64437542.87920462,32721503.201261487,141467.38185518686,-17577595.990637437,3618813.163910651,,,0.0
1333,Democratic Republic of the Congo,COD,2022,99010.212,4637341.100021576,-4538330.888021575,1146967.5422614485,-2326411.72862592,111998520.42143786,2329931.159526821,-60315927.99064738,163037058.7753691,3269158.569436935,-244042318.83585882,43868902.42069381,782703.8038565761,-64073446.75638957,3956247.453699719
1356,Denmark,DNK,2022,5882.261,519797.7387586899,-513915.4777586899,587748.6321246057,,,477.46787539431995,,,0.0,-0.0,0.0,0.0,-0.0,0.0
1379,Djibouti,DJI,2022,1120.849,87852.14154149627,-86731.29254149627,,,,,,,7617.13077354325,-2665730.0479361685,16906.82237130692,2542.7143790032737,-860561.0893260405,13830.358055698893
1402,Dominica,DMA,2022,72.737,5215.242678024291,-5142.505678024291,,,,,,,,,,,,
1425,Dominican Republic,DOM,2022,11228.821,941514.1784105301,-930285.3574105301,504636.42994093755,-32453292.462913785,44136567.85993679,581802.804838672,-52601747.385508366,47925073.769964896,14435.379262381624,-578017.7785057637,1330845.9327231601,16961.505655975743,-6780525.253884654,374223.11104944354
1448,Ecuador,ECU,2022,18001.0,1162324.5645065308,-1144323.5645065308,1207678.301443499,-61000458.72740461,86769934.75226106,515077.5800649625,-39554491.17625642,29462521.698392015,46213.36228115853,-8291795.533867605,0.0,31130.75621037988,-5585611.013124449,0.0
1471,Egypt,EGY,2022,110990.103,4768911.650599377,-4657921.547599377,,,,,,,108960.28341279544,-5889752.426693877,2891861.8042089976,1578.252049477657,-109633.47146231227,8833.71595478994
1494,El Salvador,SLV,2022,6336.392,473753.00983520504,-467416.61783520505,,,37223181.60195609,,,10152119.381564412,0.0,-2.490896117822347e-09,0.0,7653.470301446272,-2237441.1386251044,0.0
1517,Equatorial Guinea,GNQ,2022,1674.908,123959.9446579895,-122285.0366579895,,,,,,,,,,,,
1540,Eritrea,ERI,2022,3684.032,157031.87805346682,-153347.8460534668,,,,,,,,,,,,
1563,Estonia,EST,2022,1326.062,92305.85129579162,-90979.78929579162,128653.71655641521,,,3952.4834435847797,,,0.0,-0.0,0.0,0.0,-0.0,0.0
1586,Eswatini,SWZ,2022,1201.67,29532.242176704414,-28330.572176704416,,,2289697.163972073,,,603147.6151640275,8929.81809152144,-270771.2040190752,26734.597649574913,11043.748345194836,-341661.17680828506,11337.305985424113
1609,Ethiopia,ETH,2022,123379.924,2795912.606491631,-2672532.682491631,1633290.8791679507,-15534003.607792681,107866084.4958825,4722374.169231121,-97293689.80647351,124857519.7204331,1978354.0350670486,-54336999.366139695,3829157.023877623,549385.0141955225,-14386701.395940732,3571851.463840482
1632,Falkland Islands (Malvinas),FLK,2022,3.78,299.78423492431637,-296.0042349243164,,,,,,,,,0.0,,,0.0
1655,Faroe Islands,FRO,2022,53.09,2271.137074356079,-2218.047074356079,,,,,,,0.0,,,0.0,,
1678,Fiji,FJI,2022,929.766,54139.34449912261,-53209.57849912261,38923.33446004336,-1437055.749706924,2843437.7405362297,49858.749563774436,-3408253.839964375,2498217.1490456,1805.6827516698172,-186560.80067003059,44398.916642586526,1690.5673980821534,-221785.66614477328,7177.114067146111
1701,Finland,FIN,2022,5540.745,474736.57099227904,-469195.82599227905,552091.0632324219,,,1983.4367675780968,,,0.0,-0.0,0.0,0.0,-0.0,0.0
1724,France,FRA,2022,64626.628,5267651.995209838,-5203025.367209839,6443542.715625,-511977696.1334482,526765199.5209838,19120.084374999722,-8324840.587535712,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
1747,French Guiana,GUF,2022,304.557,26282.965639732363,-25978.408639732363,27862.705045751714,,,874.9395936696835,,,1718.0553605786029,,,0.0,,
1770,French Polynesia,PYF,2022,306.279,19041.3648691864,-18735.0858691864,25057.683297280393,,,5570.216702719608,,,0.0,,,0.0,,
1793,Gabon,GAB,2022,2388.992,216765.190578125,-214376.198578125,,,,,,,8311.150786043614,-3597680.58699895,459659.7296603363,3889.548249232423,-3318359.466091301,46339.35311373494
1816,Gambia,GMB,2022,2705.992,172783.00440463258,-170077.01240463258,129007.228338,-2071374.893807559,11709415.11576972,102751.82122840088,-10920905.749313733,3994253.939854184,22711.517707094667,-1878142.3558484828,1190978.5242451623,138.7854018942637,-3610.513566196472,11802.029395247044
1839,Georgia,GEO,2022,3744.385,225775.19994251253,-222030.81494251252,258893.70987077,-8999686.600360213,19863526.422605786,96738.749242981,-10659252.158794576,2536848.5578882503,8525.848489526317,-1158518.0463006943,76886.91911932419,27.47120125604655,-1131.5647311449475,1989.4678226890476
1862,Germany,DEU,2022,83369.843,6473501.788069129,-6390131.945069129,8330015.573401246,-636707108.6549716,647325816.1689943,6968.606286253852,-2306085.851941206,24362.63791863461,0.12031249933844826,-0.0,0.0,0.0,-0.0,0.0
1885,Ghana,GHA,2022,33475.87,1962188.0485378266,-1928712.1785378265,1488607.7722991325,-36335760.60771134,122760704.45264031,1469574.8371817216,-106623856.40547726,70369291.68130921,54297.01345096852,-7559074.267663028,0.0,136364.8481469564,-18984318.411910217,0.0
1908,Gibraltar,GIB,2022,32.649,3264.899750907898,-3232.2507509078982,3264.9,,326489.97509078984,0.0,,0.0,0.0,,0.0,0.0,,0.0
1931,Greece,GRC,2022,10384.971,834505.0588683471,-824120.0878683471,1026862.2072465403,,,11634.887480022144,,,0.005273437463210848,-0.0,0.0,0.0,-0.0,0.0
1954,Greenland,GRL,2022,56.466,4953.592633804321,-4897.126633804321,,,,,,,0.0,,,0.0,,
1977,Grenada,GRD,2022,125.438,4624.648187828064,-4499.210187828064,,,,,,,,,,,,
2000,Guadeloupe,GLP,2022,395.752,38991.86193847656,-38596.10993847656,37877.274405771124,,,1653.3373532745918,,,44.58824095428185,,,0.0,,
2023,Guam,GUM,2022,171.774,16334.162021118163,-16162.388021118164,17015.89666519707,,,109.14661960292919,,,52.35671520000003,,,0.0,,
2046,Guatemala,GTM,2022,17843.908,939767.2652626343,-921923.3572626342,1004492.5562791538,-42408808.428584315,61596265.7165029,683828.5850821671,-41531779.135979466,30333362.928348422,49435.24718326444,-3582799.0485172765,1661131.953205674,28247.372046370372,-2946561.5130309914,125233.84079434008
2069,Guinea,GIN,2022,13859.341,522053.64663711557,-508194.30563711555,,,,,,,117038.89340336333,-6396972.185485187,829667.1912123079,110032.07215447492,-6388205.879946071,143883.86020488993
2092,Guinea-Bissau,GNB,2022,2105.566,94836.79897708129,-92731.23297708128,50263.233206688754,-1271090.349599162,3440122.931627276,79810.49262981515,-3599006.066778815,3489830.445273533,47287.36164605751,-3158247.5265410827,787542.0430249899,1881.9730523130388,-140918.6792916206,12344.134490445393
2115,Guyana,GUY,2022,808.726,21853.394996234892,-21044.668996234894,,,,,,,706.3439702709477,-25186.4358590077,0.0,645.5424442910248,-23018.31484679323,0.0
2138,Haiti,HTI,2022,11584.996,681429.4611845397,-669844.4651845397,,,,,,,264960.23340542,-29405041.96288245,5553448.974750022,0.0,-0.0,0.0
2161,Holy See,VAT,2022,0.51,51.0,-50.49,,,,,,,,,,,,
2184,Honduras,HND,2022,10432.86,621798.4798789215,-611365.6198789215,680293.3835244433,-27934034.211217754,48771062.232573554,319217.3257766158,-27559594.891178574,12921602.701834887,32718.972303694667,-4745875.965538681,0.0,0.0,-0.0,0.0
2207,Hungary,HUN,2022,9967.308,723148.1494833985,-713180.8414833986,996730.8,-71318084.14833985,72314814.94833985,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
2230,Iceland,ISL,2022,372.899,35049.52444671631,-34676.62544671631,37289.9,,,0.0,,,0.0,-0.0,0.0,0.0,-0.0,0.0
2253,India,IND,2022,1417173.173,50836838.397285424,-49419665.224285424,,-3262526822.2674327,,,-1280235467.044846,,2808212.453668721,-112271351.48046517,74359563.03630319,765882.247085195,-34080153.823718525,13916396.51263215
2276,Indonesia,IDN,2022,275501.339,15960894.052352715,-15685392.713352716,8338369.456420119,-380463292.0688241,552729531.8926488,17588288.101649746,-1004415675.1750066,1016710708.7535363,1155537.6860166856,-134826374.0157763,15936520.253676554,229356.48996032792,-29789310.34966461,925651.0025983028
2299,Iran (Islamic Republic of),IRN,2022,88550.57,6801302.884141694,-6712752.3141416935,8343345.523681735,-588614503.9956434,654249066.4324161,307264.7374658222,-44921277.995165005,16982895.504942782,28878.328400877606,-6903869.098077999,775571.5511334346,5943.880937851338,-1815639.673539261,38896.66532433617
