,name,iso3,year,pop_t,pop_u,pop_r,wat_pop_sm_t,wat_pop_sm_r,wat_pop_sm_u,wat_pop_basal_sub_t,wat_pop_basal_sub_r,wat_pop_basal_sub_u,wat_pop_unimp_t,wat_pop_unimp_r,wat_pop_unimp_u,wat_pop_ns_t,wat_pop_ns_r,wat_pop_ns_u
3173,Montenegro,MNE,2022,627.082,42744.41836657715,-42117.33636657715,53376.541329247426,,3732405.4241255377,8619.21427519566,,507487.7912964287,363.70826574597277,-76730.76954144135,0.0,3.249917708995822,-685.6310571303484,0.0
3196,Montserrat,MSR,2022,4.39,40.37921979904174,-35.98921979904174,,,,,,,8.439851289073738,,,0.0,,
3219,Morocco,MAR,2022,37457.971,2419634.834083145,-2382176.863083145,2802762.6894576643,-111160954.09616843,218392756.0445848,456809.6629707744,-45088829.3711517,20579933.470763687,410075.31056161673,-68289226.1769938,2990793.892966015,0.0,-0.0,0.0
3242,Mozambique,MOZ,2022,32969.518,1259006.9929213484,-1226037.4749213485,,,,,,,550163.8694516476,-29113753.949011274,6622901.457148292,340459.93318463373,-18928801.53461173,2582149.7141205035
3265,Myanmar,MMR,2022,54179.306,1721330.8293045615,-1667151.5233045614,3109702.502802541,-84041411.44540605,124623989.60314207,1353829.293174584,-44551959.58346422,36597212.98824485,312799.03408428415,-12952223.8015963,2560733.775570618,603830.2327675808,-23466166.597997755,8351146.563498615
3288,Namibia,NAM,2022,2567.012,138505.70276223755,-135938.69076223756,,,,,,,9364.261446597291,-972132.5249958263,91179.39995606427,8564.121429714216,-903602.1254075834,70751.34029999004
3311,Nauru,NRU,2022,12.668,1266.8,-1254.132,,,,,,,,,,,,
3334,Nepal,NPL,2022,30547.58,655276.1451056673,-624728.5651056673,492324.2623969585,-8866470.695932392,15177740.32827352,2294687.146969048,-48347107.927592486,43775258.60828721,104868.7347391916,-1721527.1300303142,3874760.9658926823,35339.29093488635,-768591.9645227062,581891.122293285
3357,Netherlands (Kingdom of the),NLD,2022,17564.014,1631451.0322765808,-1613887.0182765808,1755837.4403945021,,,563.9145859667547,,,0.045019531047435564,-0.0,0.0,0.0,-0.0,0.0
3380,New Caledonia,NCL,2022,289.95,20970.632865142823,-20680.682865142822,28086.08950602435,,,775.1487268954073,,,133.76176708024266,,,0.0,,
3403,New Zealand,NZL,2022,5185.288,450518.53695672605,-445333.24895672605,518528.79999999993,,,0.0,,,0.0,-0.0,0.0,0.0,-0.0,0.0
3426,Nicaragua,NIC,2022,6948.392,413818.4587616272,-406870.0667616272,,,,,,,,,,,,
3449,Niger,NER,2022,26207.977,442757.5898315316,-416549.61283153156,,,,,,,750827.5292458145,-14219441.400660817,732638.9579506936,73957.0099890026,-1338407.9986042054,397479.483042773
3472,Nigeria,NGA,2022,218541.212,11696544.187443957,-11478002.975443957,6334391.870226537,-243478472.41310748,417970401.1054911,11070101.007054847,-485134910.5907735,677684961.4239563,2498035.535817705,-246706158.69233522,31478394.292919602,1011411.071466681,-104887124.45177256,8320169.381994386
3495,Niue,NIU,2022,1.934,91.99458059692383,-90.06058059692383,180.9092552385868,,,6.70977929030158,,,5.780965471111605,,,0.0,,
3518,North Macedonia,MKD,2022,2093.599,123769.39373233795,-121675.79473233795,168423.81291499935,-9055284.962301424,10472614.121048145,36419.2766480831,-2800284.9482668466,1672120.7692464436,1103.1381314784892,-107916.61838088467,34402.5330654068,98.87415603515632,-14055.98780747968,0.0
3541,Northern Mariana Islands,MNP,2022,49.551,4557.849717681885,-4508.298717681884,4491.261773195876,,,463.8382268041242,,,0.0,,,0.0,,
3564,Norway,NOR,2022,5434.319,454656.87277642824,-449222.5537764282,537036.3061460996,,,6395.593853900485,,,0.0,-0.0,0.0,0.0,-0.0,0.0
3587,Oman,OMN,2022,4576.298,401570.1495,-396993.8515,415764.67785364354,,,7268.166324453404,,,1063.6897002276392,-753259.7931838408,0.0,123.15729716080321,-87215.47501330634,0.0
3610,Pakistan,PAK,2022,235824.862,8897907.63062748,-8662082.76862748,11933157.449237082,-405866098.39702654,505262688.9954108,9438648.445370775,-367327049.3571873,321145926.3910597,892801.387512808,-41154987.82764094,19511252.795650255,269346.3313001661,-14273520.134903973,2737147.649560085
3633,Palau,PLW,2022,18.055,1479.7156031417846,-1461.6606031417846,1632.909521811714,-84025.27587219376,144562.85723732444,164.83494281768625,-61217.66289505023,2838.9025801843063,7.755535370599622,-923.1215469344734,569.800496669724,0.0,-0.0,0.0
3656,Panama,PAN,2022,4408.581,304813.69380850985,-300405.11280850985,,,,,,,9412.88806005511,-2078496.2396422175,0.0,6021.706644077968,-1329677.2994462822,0.0
3679,Papua New Guinea,PNG,2022,10142.619,137757.0586866761,-127614.43968667608,,,,,,,266528.0731014989,-3752977.9383592694,875920.2849286625,213739.7243240948,-2981105.741965179,898595.6418820352
3702,Paraguay,PRY,2022,6780.744,425952.78197222896,-419172.03797222895,435463.4770831374,-21264046.818274446,30756549.73767161,239887.72737602194,-20280608.41208858,11790488.683252439,0.010351562433604527,-0.0,0.0,0.0,-0.0,0.0
3725,Peru,PER,2022,34049.588,2679974.978538666,-2645925.390538666,1770075.040887256,-60885093.53100875,160324980.71397308,1458023.7063017061,-163854032.00074548,100906347.65968147,110960.27936449913,-21750340.589887198,5136436.053803481,45963.529111197844,-15713690.706907064,290799.98698304594
3748,Philippines,PHL,2022,115559.009,5544174.712329662,-5428615.703329663,5535496.56932206,-189889555.6958642,343263270.9501553,5428315.948851962,-310646592.90055513,198817147.2321588,265734.77010381425,-20539638.901287686,3827577.2136882795,0.0,-0.0,0.0
3771,Poland,POL,2022,39857.145,2396769.512425289,-2356912.367425289,3543878.09149905,,,57995.36597317316,,,383841.04252777656,-41940321.827273,10109454.102243155,0.0,-0.0,0.0
3794,Portugal,PRT,2022,10270.865,692061.1990737533,-681790.3340737533,977341.9686747848,-62171716.95310918,67183603.04485844,42148.29216563758,-4544500.807178019,1981704.4183736844,7596.23915957769,-1462815.647088135,40812.44414321088,0.0,-0.0,0.0
3817,Puerto Rico,PRI,2022,3252.407,304457.8212551117,-301205.4142551117,324827.99423909164,,,412.7057609083696,,,0.0,,,0.0,,
3840,Qatar,QAT,2022,2695.122,267674.1289344635,-264979.0069344635,260496.5211659363,,,8985.95741063056,,,29.721423433097033,,,0.0,,
3863,Republic of Korea,KOR,2022,51815.81,4219206.062072754,-4167390.252072754,5144280.021362736,,,37300.978637263535,,,0.0,,,0.0,,
3886,Republic of Moldova,MDA,2022,3272.996,141305.05740672303,-138032.06140672302,246208.97084798693,,,54986.09051742602,,,21048.883708906727,-1478923.9705276117,112077.24723503887,0.0,-0.0,0.0
3909,Réunion,REU,2022,974.052,97138.30773065185,-96164.25573065186,93268.980556414,,,4081.1375685036323,,,55.0818750823752,,,0.0,,
3932,Romania,ROU,2022,19659.267,1071213.7683654327,-1051554.5013654327,1613481.7473000141,-70086177.34034218,101715501.04926023,352444.912856236,-35069272.7962011,5405875.787283041,0.039843749936607,-0.0,0.0,0.0,-0.0,0.0
3955,Russian Federation,RUS,2022,144713.314,10871732.348070603,-10727019.034070604,11031945.570527025,,,3012712.795874415,,,337361.9795709359,-74187368.61739501,6667241.772562818,,,2174346.4696141207
3978,Rwanda,RWA,2022,13776.698,244136.87450749206,-230360.17650749205,,,13326901.240836646,,,8190432.7084535705,142148.5309434947,-2742461.9296800927,720023.1290502845,72418.21275189833,-1389814.3585675284,402964.2522317637
4001,Saint Barthelemy,BLM,2022,10.967,,,1096.7,,,0.0,,,0.0,,,0.0,,
4024,Saint Helena,SHN,2022,5.374,217.3299236679077,-211.9559236679077,479.52008536,,,53.04331464000003,,,4.836599999999954,,,0.0,,
4047,Saint Kitts and Nevis,KNA,2022,47.657,1476.9380499134065,-1429.2810499134066,,,,,,,,,,,,
4070,Saint Lucia,LCA,2022,179.857,3426.276055830002,-3246.419055830002,,,,,,,232.8758276808141,-4713.228832348932,2149.847486380266,0.0,-0.0,0.0
4093,Saint Martin (French part),MAF,2022,31.791,,,3071.9250620438656,,,104.83301659508538,,,2.341921361049038,,,0.0,,
4116,Saint Pierre and Miquelon,SPM,2022,5.862,527.7675704040528,-521.9055704040528,,,,,,,,,,,,
4139,Saint Vincent and the Grenadines,VCT,2022,103.948,5600.1984999999995,-5496.250499999999,,,,,,,,,,,,
4162,Samoa,WSM,2022,222.382,3917.4811389427196,-3695.0991389427195,13830.317687210007,-207681.49075651277,353323.5001429523,8193.865087601496,-157511.92513204966,38424.613751319645,129.88749566246236,-2619.688499559407,0.0,21.187053677464103,-427.3209279260768,0.0
4185,San Marino,SMR,2022,33.66,3289.659196014404,-3255.9991960144043,3365.9999999999995,,,0.0,,,0.0,,,0.0,,
4208,Sao Tome and Principe,STP,2022,227.38,17225.173010253908,-16997.793010253907,8254.051306036397,-404667.6545892787,694160.8684757836,9331.771771234895,-804254.2846578895,672336.5374237101,105.65613000708137,-32577.27806836108,0.0,425.39825496545603,-131163.7402967652,0.0
4231,Saudi Arabia,SAU,2022,36408.82,3084882.774224701,-3048473.954224701,,,,,,,24679.080078125375,-0.0,2467906.2193797957,0.0,-0.0,0.0
4254,Senegal,SEN,2022,17316.449,849995.1902481079,-832678.7412481079,462220.8806047923,-10533321.75000078,35069286.36169496,1031318.9292424722,-53559900.47651038,46422060.73677254,187895.71744329913,-15035285.551574845,2870042.7679139157,2918.86822180309,-275674.05710190436,0.0
4277,Serbia,SRB,2022,7221.365,410700.6720313072,-403479.3070313072,542145.765389837,-26862026.93268946,33480433.557182223,148780.98495326965,-11900001.999703657,5692777.64622054,3143.06482552745,-225249.46079907214,140441.8276023327,116.84829527045098,-15138.229730727695,0.0
4300,Seychelles,SYC,2022,107.118,6255.262718193055,-6148.144718193054,,,,,,,383.6063156485074,,,,,
4323,Sierra Leone,SLE,2022,8605.718,377197.2038600694,-368591.4858600694,88315.48083389534,-3211193.038650828,4620357.261452703,473983.14784072223,-16714275.837107599,25479045.43126471,143926.12398857754,-8720657.153002301,2956253.0330454814,90365.99118196385,-6400106.289199187,643435.7061052583
4346,Singapore,SGP,2022,5975.689,597568.9,-591593.211,597568.9,,59756890.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
4369,Sint Maarten (Dutch part),SXM,2022,44.175,4417.5,-4373.325,,,,,,,,,,,,
4392,Slovakia,SVK,2022,5643.453,304232.88848785404,-298589.43548785406,559744.3614174869,,,3399.492939184091,,,0.011914062539274977,-0.0,0.0,0.0,-0.0,0.0
4415,Slovenia,SVN,2022,2119.844,118183.4216795349,-116063.57767953491,208326.22953442836,,,2598.24846557164,,,1059.922,,,0.0,,
4438,Solomon Islands,SLB,2022,724.273,18529.800166763303,-17805.527166763302,,,,,,,,-606566.8072899659,,,,
4461,Somalia,SOM,2022,17597.511,832784.5665272597,-815187.0555272596,,,,,,,209224.95233076438,-16622183.156699706,2021055.3577438288,25672.305520626207,-2257657.7533023823,0.0
4484,South Africa,ZAF,2022,59893.885,4092849.033594589,-4032955.1485945894,,,329409142.3272126,,,76213844.84693094,67011.08926984538,-13209804.168955006,489057.02343895606,98528.63735300905,-20606726.540190443,162333.48263167424
4507,South Sudan,SSD,2022,10913.164,227495.8240709534,-216582.6600709534,,,,,,,147537.02382424116,-3056218.7421042905,2564249.8103714897,87512.75289479115,-2194176.0467499723,0.0
4530,Spain,ESP,2022,47558.63,3866706.8941584774,-3819148.2641584775,4735276.896844662,-376703981.19632536,385825234.9010805,17026.69988051057,-5210845.21952237,489505.60615439445,3559.403274827607,-0.0,355948.9086128425,0.0,-0.0,0.0
4553,Sri Lanka,LKA,2022,21832.143,415378.3323969441,-393546.18939694413,1028895.0369372487,-15229657.776450643,34476858.20589309,920935.9967520457,-19102023.982615273,6286024.063227706,148632.54211983684,-3176366.2628302933,594799.2380920796,45588.340877033675,-1014863.2829841169,0.0
4576,State of Palestine,PSE,2022,5250.072,405783.3168746338,-400533.2448746338,421739.24173809786,-30589232.58829677,33068643.6662294,95102.20792986972,-9464091.899166608,6693111.569227947,1763.4466059376439,-0.0,176346.09252462347,30.475354180031268,-0.0,3047.5353555127526
4599,Sudan,SDN,2022,46874.204,1685408.9391044616,-1638534.7351044617,,,,,,,185067.08123653586,-10101194.323123766,6.268452363837282e-09,106445.04591418992,-5402998.364827895,745499.6831685798
4622,Suriname,SUR,2022,618.04,40980.38250488281,-40362.34250488281,34484.25379715963,-1647064.7195032407,2598676.754407594,26079.348164489144,-2250904.800088907,1446654.7357356313,233.2121809341088,-6449.974771342721,19993.652697925863,348.371443945484,-67223.06652829338,155.61834570064158
4645,Sweden,SWE,2022,10549.347,933532.7805983047,-922983.4335983047,1052180.053095189,,,0.0,,,2754.64690481105,-380596.4844315202,225403.29482863145,0.0,-0.0,0.0
4668,Switzerland,CHE,2022,8740.472,647599.0764973755,-638858.6044973755,845203.658642578,,,28843.541357421906,,,0.0,-0.0,0.0,0.0,-0.0,0.0
4691,Syrian Arab Republic,SYR,2022,22125.249,1256028.2827628974,-1233903.0337628974,,,,,,,1965.9950834301,-0.0,196599.7368405777,51.000926993147274,-0.0,5100.092546844966
4714,Tajikistan,TJK,2022,9952.787,278359.56989985664,-268406.7828998566,550310.5015226937,,,265219.94511738373,,,33936.80727027539,-1111393.83077349,425129.75359489536,120355.8516265288,-4296803.382925901,558749.3105072195
4737,Thailand,THA,2022,71697.03,3791984.4887964246,-3720287.458796425,,,,,,,0.0,-0.0,0.0,0.0,-0.0,0.0
4760,Timor-Leste,TLS,2022,1341.296,43020.72966412354,-41679.433664123535,,,,,,,10507.114657966027,-480667.3096913025,0.0,4340.754556422571,-198575.8299357466,0.0
4783,Togo,TGO,2022,8848.699,388643.68771581276,-379794.98871581274,171822.18277530724,-3078914.624348784,13159421.14748191,456353.29542343563,-19126447.45871397,20645415.62173457,113014.79809126786,-5769587.894352691,3763145.517402711,88950.49685275476,-6617825.333497154,248442.35180461753
4806,Tokelau,TKL,2022,1.871,0.0,1.871,,,,,,,0.546936980229049,0.546936980229049,,0.0,0.0,
4829,Tonga,TON,2022,106.858,2471.09125,-2364.2332499999998,3155.378005750891,-54697.560169597054,125486.95581165566,7403.482826381895,-178370.4267210713,120586.63251315494,32.66797784091336,-744.2258014004177,680.9264975443893,0.0,-0.0,0.0
4852,Trinidad and Tobago,TTO,2022,1531.044,81665.88719361878,-80134.84319361878,,,,,,,0.0,,,0.0,,
4875,Tunisia,TUN,2022,12356.117,867572.3605759658,-855216.2435759659,918102.2491149043,-57367538.40997145,67122304.40219846,282686.5925180006,-22527656.09971793,18573960.87231824,14938.383539918847,-2775733.073845888,299310.72831087274,18.823009991197186,-0.0,1882.3009932502766
4898,Türkiye,TUR,2022,85341.241,6573153.3351604305,-6487812.09416043,,,,,,,62901.97142071155,-5114054.156930479,4744482.117514259,18915.027183593793,-3256881.6712685516,907095.1602521387
4921,Turkmenistan,TKM,2022,6430.77,344007.6070437241,-337576.8370437241,610154.9475486845,-31174393.50677949,33397169.100176316,32922.0524513155,-2583290.197592921,1003591.6041960943,0.0,-0.0,0.0,0.0,-0.0,0.0
4944,Turks and Caicos Islands,TCA,2022,45.703,4298.229907104493,-4252.526907104492,2151.9292821739914,-236659.71921352303,200051.80445187291,2363.6889873718033,-153671.67275400308,226537.22051787318,9.762499160513716,-13161.655828026567,134.19073769976143,0.0,-0.0,0.0
4967,Tuvalu,TUV,2022,11.312,741.2414288330077,-729.9294288330077,98.49472212030953,-3916.048218158122,7757.356944678603,1024.2909981069906,-68886.89022838688,65626.86583370728,3.87129102002349,-190.0044367557708,285.62121650776675,0.0,-0.0,0.0
4990,Uganda,UGA,2022,47249.585,1236001.912760258,-1188752.327760258,882689.493765124,-11088249.799312243,55725227.66918567,1917302.439177195,-50511522.71484161,43480259.310710646,535534.9891339829,-15719967.494656127,7415819.227363377,213116.8336902563,-6845422.076202685,1220550.5903154346
5013,Ukraine,UKR,2022,39701.739,2775906.1411539917,-2736204.4021539916,3478695.1554970923,-235623918.65163466,245027024.09992182,236982.59280995795,-37996521.5637645,7113961.709703739,10247.59141527457,-0.0,1024771.5171979704,19158.55557026937,-0.0,1915855.6167037797
5036,United Arab Emirates,ARE,2022,9441.129,826504.8211622087,-817063.6921622087,,,,,,,0.0,-0.0,0.0,0.0,-0.0,0.0
5059,United Kingdom,GBR,2022,67508.936,5697619.357705994,-5630110.421705994,6737671.772755045,,,13221.684276204676,,,0.14296875017590235,-0.0,0.0,0.0,-0.0,0.0
5082,United Republic of Tanzania,TZA,2022,65497.748,2402588.590020431,-2337090.842020431,742459.7130371663,-7344274.9594962085,61213499.73754534,3239224.1707171365,-107216328.24729906,133666194.28727849,712216.7099310408,-38918284.08979162,2160866.228775483,795146.8577863731,-41715231.06103421,5490676.007858383
5105,United States Virgin Islands,VIR,2022,99.465,9562.167397842408,-9462.702397842408,,,,,,,,,,,,
5128,United States of America,USA,2022,338289.857,28106474.355102558,-27768184.498102557,32972567.290649697,,2743012882.0775566,844278.148360148,,66420464.54904038,12140.260990158007,-0.0,1214088.883658931,0.0,-0.0,0.0
5151,Uruguay,URY,2022,3422.794,327520.32438882446,-324097.53038882447,,,30979736.31123729,,,1673242.5524387986,0.0,-0.0,0.0,0.0,-0.0,0.0
5174,Uzbekistan,UZB,2022,34627.652,1747519.2041882325,-1712891.5521882325,2764855.2013177825,-121167849.28757453,155151119.10294297,580965.8371703783,-41972149.63958625,16066739.724519903,4151.72068777146,-0.0,415175.5213784838,50325.26710019949,-4582514.548493379,443713.05093601457
5197,Vanuatu,VUT,2022,326.74,8435.119835014344,-8108.379835014344,,,474574.5978104736,,,362167.5988117566,758.6679482718314,-24273.432491588548,3304.7780490405476,1900.4702997154552,-63074.46055092622,1494.6472236574045
5220,Venezuela (Bolivarian Republic of),VEN,2022,28301.696,2501247.2424482424,-2472945.5464482424,,,,,,,175453.1362682236,,,,,
5243,Viet Nam,VNM,2022,98186.856,3806311.545831848,-3708124.689831848,5673375.123111379,-172036440.72374856,288396665.1734557,3944696.721071223,-188512216.3781393,88814920.50093906,200613.75581739753,-10263811.881296938,3419568.9087900324,0.0,-0.0,0.0
5266,Wallis and Futuna Islands,WLF,2022,11.572,0.0,11.572,797.0860293863914,797.0860293863914,,351.5149820319365,351.5149820319365,,8.598988581672055,8.598988581672055,,0.0,0.0,
5289,Western Sahara,ESH,2022,575.986,50106.172248764036,-49530.18624876404,,,,,,,,,,,,
5312,Yemen,YEM,2022,33696.614,1320502.9001769486,-1286806.2861769486,,,,,,,214687.3206892908,-12493121.131570013,1574212.078898455,81722.32203117746,-5131901.847650336,0.0
5335,Zambia,ZMB,2022,20017.675,916028.7810799598,-896011.1060799598,,,41657121.038244516,,,39460925.707094364,373743.9256124785,-25286644.626659896,6733377.401879098,133698.10111833678,-10601920.251591459,522966.19521966507
5358,Zimbabwe,ZWE,2022,16320.537,528703.7413280412,-512383.2043280412,432762.3425898004,-6471867.6992815435,29339916.56174604,583913.3504008658,-17966512.09422455,19702811.393656835,266274.99641020986,-11842960.041830568,1125237.5512450652,112186.18065230083,-5209799.230674305,0.0
