,ISO3,Area,Water Stress net change,Water Stress pct change,Water Stress 2002,Water Stress 2022
64,GHA,Ghana,1.7975152569999997,0.3979252110317067,4.517218832,6.314734089
65,GRC,Greece,1.6407040260000016,0.08780857514534299,18.685009104,20.32571313
66,GRD,Grenada,,,,7.05
67,GTM,Guatemala,1.2391810420000002,0.2751952359909415,4.502916039,5.742097081
68,GIN,Guinea,0.505769231,0.5857461030302429,0.863461538,1.369230769
69,GNB,Guinea-Bissau,0.0,0.0,1.495726496,1.495726496
70,GUY,Guyana,-0.375753424,-0.10226933766550302,3.674155251,3.298401827
71,HTI,Haiti,0.7633376409999997,0.060484165892843056,12.620454126,13.383791767
72,HND,Honduras,,,,4.621268764
73,HUN,Hungary,-1.8396891199999992,-0.18492708340732392,9.948186529,8.108497409
74,ISL,Iceland,0.16986003500000002,0.7575757548727273,0.224215247,0.394075282
75,IND,India,0.7168330249999997,0.010898216549860168,65.775259807,66.492092832
76,IDN,Indonesia,12.764355742,0.75385145610285,16.932189543,29.696545285
77,IRN,Iran (Islamic Republic of),1.881586427000002,0.02369532536280054,79.407494862,81.289081289
78,IRQ,Iraq,-27.88477126800001,-0.3187974315924789,87.468619583,59.583848315
79,IRL,Ireland,3.7111733310000004,0.855141129052513,4.339837256,8.051010587
80,ISR,Israel,-3.4940902419999986,-0.02623906705226277,133.163661461,129.669571219
81,ITA,Italy,-6.996180027000001,-0.19030202593016737,36.763560413,29.767380386
82,JAM,Jamaica,1.3481176480000006,0.12217074298420583,11.034701231,12.382818879
83,JPN,Japan,-2.183908046000006,-0.056246299585995946,38.827586207,36.643678161
84,JOR,Jordan,23.391927597999995,0.2859292351978476,81.810198883,105.202126481
85,KAZ,Kazakhstan,3.7572815529999986,0.12171451676877999,30.86962552,34.626907073
86,KEN,Kenya,16.202464752,0.950991947830799,17.03743632,33.239901072
87,KWT,Kuwait,1775.5,0.8556626506024096,2075.0,3850.5
88,KGZ,Kyrgyzstan,-10.271393325000005,-0.17030896758789724,60.310349305,50.03895598
89,LAO,Lao People's Democratic Republic,,,,4.791395046
90,LVA,Latvia,-0.42525633399999996,-0.29515746377285174,1.440777843,1.015521509
91,LBN,Lebanon,19.312134977,0.48915187375541835,39.480856587,58.792991564
92,LSO,Lesotho,0.0,0.0,2.565905097,2.565905097
93,LBR,Liberia,0.01641304299999999,0.06620870890044044,0.247898551,0.264311594
94,LBY,Libya,168.65714285700005,0.2600784244610478,648.485714286,817.142857143
95,LTU,Lithuania,-17.056524873,-0.8873410599471917,19.222062004,2.165537131
96,LUX,Luxembourg,-0.7396351580000005,-0.15743028600359396,4.698175788,3.95854063
97,MDG,Madagascar,0.04413389100000131,0.003934423275366847,11.217372385,11.261506276
98,MWI,Malawi,0.2422913169999994,0.014035664624477117,17.262546768,17.504838085
99,MYS,Malaysia,0.5070175429999999,0.172897798079707,2.932469636,3.439487179
100,MDV,Maldives,-1.2500000000000018,-0.07389162561430765,16.916666667,15.666666667
101,MLI,Mali,0.12768031200000074,0.01621253688369168,7.875406108,8.00308642
102,MLT,Malta,5.2732752480000045,0.07832364706619342,67.326732673,72.600007921
103,MRT,Mauritania,-1.2075063860000004,-0.08354292703798037,14.453723718,13.246217332
104,MUS,Mauritius,-1.9871561850000035,-0.07961165046171033,24.96062038,22.973464195
105,MEX,Mexico,17.824646793000003,0.6572388574264159,27.120500548,44.945147341
106,MNG,Mongolia,-0.31672879300000023,-0.08533171041265308,3.711736135,3.395007342
107,MAR,Morocco,-20.352325638000003,-0.2862350638048226,71.103537657,50.751212019
108,MOZ,Mozambique,0.6218175639999999,0.5504423817997013,1.129668762,1.751486326
109,MMR,Myanmar,0.0,0.0,5.801501397,5.801501397
110,NAM,Namibia,-0.546884239,-0.6347659561903436,0.861552567,0.314668328
111,NPL,Nepal,-0.03434272800000038,-0.004114786281767843,8.34617539,8.311832662
112,NLD,Netherlands (Kingdom of the),-1.5180166580000005,-0.0835152358191542,18.176523638,16.65850698
113,NZL,New Zealand,4.8714635,1.533536138330825,3.17662126,8.04808476
