date,value
2020-11,-36.37812695
2020-12,-27.21778826
2021-01,-10.16034245
2021-02,0.44476949813149586
2021-03,9.697603404046365
2021-04,8.661436118434484
2021-05,5.252028304827401
2021-06,-11.32928383
2021-07,-24.24144913
2021-08,-35.87699825
2021-09,-39.2551546
2021-10,-47.70265167
2021-11,-38.43973128
2021-12,-29.63245895
2022-01,-13.07356603
2022-02,-5.764567913
2022-03,2.680266599607416
2022-04,10.410494990645388
2022-05,2.7589862611812337
2022-06,-12.21881976
2022-07,-27.63245441
2022-08,-35.34660116
2022-09,-41.13478911
2022-10,-49.55968035
2022-11,-45.29651603
2022-12,-33.52668291
2023-01,-14.8612416
2023-02,-1.691043747
2023-03,4.471301314205855
2023-04,9.033232726773432
2023-05,4.910105580924704
2023-06,-17.7762708
