HS4,HS4 ID,Current Exports Value
Forage Crops,21214,11972835
Insect Resins,21301,203438
Vegetable Saps,21302,125122248
Vegetable Plaiting Materials,21401,1072275
Other Vegetable Products,21404,24348657
Pig and Poultry Fat,31501,832.0000000000001
"Bovine, Sheep, and Goat Fat",31502,1295361
Fish Oil,31504,194864545
Wool Grease,31505,704199
Other Animal Fats,31506,375832
Soybean Oil,31507,12671
Ground Nut Oil,31508,440
Pure Olive Oil,31509,58368758
Olive Oil,31510,5405
Palm Oil,31511,95915
Seed Oils,31512,89336
Coconut Oil,31513,81226
Rapeseed Oil,31514,3159797.0000000005
Other Pure Vegetable Oils,31515,11454945
Other Vegetable Oils,31516,39667852
Margarine,31517,5657523
Inedible Fats and Oils,31518,32292678
Glycerol,31520,47266.99999999999
Vegetable waxes and beeswax,31521,166818
Sausages,41601,113971
Other Prepared Meat,41602,37932178
Animal Extracts,41603,45441
Processed Fish,41604,90807177
Processed Crustaceans,41605,347606768
Raw Sugar,41701,933486
Other Sugars,41702,13800044
Molasses,41703,12375
Confectionery Sugar,41704,7332365
Cocoa Beans,41801,68416
Cocoa Paste,41803,340600
Cocoa Butter,41804,393800
Cocoa Powder,41805,36119
Chocolate,41806,18958094
Malt Extract,41901,125543101
Pasta,41902,10459064
Tapioca,41903,118.00000000000001
Prepared Cereals,41904,41491888
Baked Goods,41905,11118807
Pickled Foods,42001,167284
Processed Tomatoes,42002,162212273
Processed Mushrooms,42003,264802
Other Frozen Vegetables,42004,265471
Other Processed Vegetables,42005,4915743
Sugar Preserved Foods,42006,889679
Jams,42007,115630994
Other Processed Fruits and Nuts,42008,147391216
Fruit Juice,42009,179776801
Coffee and Tea Extracts,42101,33172006
Yeast,42102,1654426
Sauces and Seasonings,42103,9690275
Soups and Broths,42104,26885720
Ice Cream,42105,38157.00000000001
Other Edible Preparations,42106,145392106
Water,42201,92304
Flavored Water,42202,2630506
Beer,42203,929578
Wine,42204,1849495874
Vermouth,42205,3716412
Other Fermented Beverages,42206,554620
Alcohol > 80% ABV,42207,917888
Hard Liquor,42208,16371071
Vinegar,42209,650538
Animal Meal and Pellets,42301,453837663
Bran,42302,1111500
Starch Residue,42303,12451841
Soybean Meal,42304,3187436
Other Vegetable Residues,42306,1086898
Wine Lees,42307,338202
Other Vegetable Residues and Waste,42308,726793
Animal Food,42309,50785609
Raw Tobacco,42401,500339
Rolled Tobacco,42402,73187275
Processed Tobacco,42403,723908
Salt,52501,133924310
Sulphur,52503,1578429.9999999998
Graphite,52504,3736
Sand,52505,726298
Quartz,52506,344929
Kaolin,52507,19292
Clays,52508,187592
Chalk,52509,540
Calcium Phosphates,52510,13037
Barium Sulphate,52511,11612
Siliceous Fossil Meals,52512,622576
Pumice,52513,3979
"Marble, Travertine and Alabaster",52515,340758
Granite,52516,2972
Gravel and Crushed Stone,52517,5748
Dolomite,52518,13044
Magnesium Carbonate,52519,11495
Gypsum,52520,114102
Quicklime,52522,108334
Cement,52523,4770144
Mica,52525,14740
Soapstone,52526,5595
Borax,52528,7433916
Feldspar,52529,5407.999999999999
Other Mineral,52530,531073
Iron Ore,52601,1703244799
Copper Ore,52603,21335306677
Lead Ore,52607,28263992
Zinc Ore,52608,139170892
Tin Ores,52609,1408157.0000000002
Chromium Ore,52610,48127
Molybdenum Ore,52613,1254811516
"Niobium, Tantalum, Vanadium and Zirconium Ore",52615,25299
Precious Metal Ore,52616,104192597
Other Ores,52617,824273
Granulated Slag,52618,221043
Slag Dross,52619,997
"Non-Iron and Steel Slag, Ash and Residues",52620,161607750.99999997
Other Slag and Ash,52621,147630
Peat,52703,280418
Coke,52704,26140133
Coal Tar Oil,52707,1139
Pitch Coke,52708,29328.000000000004
Crude Petroleum,52709,11870851
Refined Petroleum,52710,219797441
Petroleum Gas,52711,92428548
Petroleum Jelly,52712,962517
Petroleum Coke,52713,11579411
Bitumen and asphalt,52714,274130
Asphalt Mixtures,52715,1166818
Halogens,62801,736667420
Sulfur,62802,566888
Carbon,62803,3623.9999999999995
Hydrogen,62804,3591737
"Alkali, alkaline-earth, rare-earth metals, scandium, yttrium, and mercury",62805,1117
Hydrochloric Acid,62806,581652
Sulfuric Acid,62807,1208083
Nitric Acids,62808,1970571.9999999998
Phosphoric Acid,62809,939
Boron,62810,50068032
Other Inorganic Acids,62811,1106719
Halides,62812,447
Nonmetal Sulfides,62813,2860261
Ammonia,62814,642715
Sodium or Potassium Peroxides,62815,17222
Magnesium Hydroxide and Peroxide,62816,14387
Zinc Oxide and Peroxide,62817,233966
Aluminium Oxide,62818,24673
Iron Oxides and Hydroxides,62821,1666
Cobalt Oxides and Hydroxides,62822,140
Titanium Oxides,62823,66404
Lead Oxides,62824,42289
Inorganic Salts,62825,238234692
Fluorides,62826,21739
Chlorides,62827,36535656
Hypochlorites,62828,11184
Chlorates and Perchlorates,62829,9290063
Sulfides,62830,30708
Sulfites,62832,353035
Sulfates,62833,21919371
Nitrites and Nitrates,62834,339973093
Phosphinates (hypophosphites) and phosphonates (phosphites),62835,1782160.9999999998
Carbonates,62836,709200818
Cyanides,62837,10413.999999999998
Silicates,62839,111668.00000000001
Borates,62840,255146
Oxometallic or Peroxometallic Acid Salts,62841,16108359
Other Inorganic Acids Salts,62842,17526
Precious Metal Compounds,62843,3854923
Radioactive Chemicals,62844,4421
Rare-Earth Metal Compounds,62846,347
Hydrogen peroxide,62847,1145
Carbides,62849,11333
"Compounds, inorganic or organic, of mercury, excluding amalgams",62852,16916
Other inorganic compounds,62853,2637534
Acyclic Hydrocarbons,62901,1612413
Cyclic Hydrocarbons,62902,1354691
Halogenated Hydrocarbons,62903,132879
